id,tooltip
11,"[color=LIGHT_BLUE]Some magic still sparkles inside these ruins.[/color]
[color=YELLOW]Author:[/color] drol
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]49[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Illuminate[/color]
Attacks make the target grant more experience once killed.
"
12,"[color=LIGHT_BLUE]Some magic still sparkles inside these ruins.[/color]
[color=YELLOW]Author:[/color] drol
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]158[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Illuminate[/color]
Attacks make the target grant more experience once killed.
"
13,"[color=LIGHT_BLUE]Some magic still sparkles inside these ruins.[/color]
[color=YELLOW]Author:[/color] drol
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]333[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Illuminate[/color]
Attacks make the target grant more experience once killed.
"
14,"[color=LIGHT_BLUE]Some magic still sparkles inside these ruins.[/color]
[color=YELLOW]Author:[/color] drol
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]697[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Illuminate[/color]
Attacks make the target grant more experience once killed.
"
15,"[color=LIGHT_BLUE]Some magic still sparkles inside these ruins.[/color]
[color=YELLOW]Author:[/color] drol
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1453[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Illuminate[/color]
Attacks make the target grant more experience once killed.
"
16,"[color=LIGHT_BLUE]Some magic still sparkles inside these ruins.[/color]
[color=YELLOW]Author:[/color] drol
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]2352[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Illuminate[/color]
Attacks make the target grant more experience once killed.
"
17,"[color=LIGHT_BLUE]A small, high rate of fire tower[/color]
[color=YELLOW]Author:[/color] Cyony
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]42[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]750[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GOLD]+3%[/color] attack speed/lvl

 
[color=GOLD]Spray and Pray[/color]
Due to its high rate of fire, this tower often misses its target.

"
18,"[color=LIGHT_BLUE]A medium sized, high rate of fire tower[/color]
[color=YELLOW]Author:[/color] Cyony
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]218[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]750[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GOLD]+3%[/color] attack speed/lvl

 
[color=GOLD]Spray and Pray[/color]
Due to its high rate of fire, this tower often misses its target.

"
19,"[color=LIGHT_BLUE]A big, high rate of fire tower[/color]
[color=YELLOW]Author:[/color] Cyony
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]440[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]750[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GOLD]+3%[/color] attack speed/lvl

 
[color=GOLD]Spray and Pray[/color]
Due to its high rate of fire, this tower often misses its target.

"
20,"[color=LIGHT_BLUE]A grand, high rate of fire tower[/color]
[color=YELLOW]Author:[/color] Cyony
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]876[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]750[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GOLD]+3%[/color] attack speed/lvl

 
[color=GOLD]Spray and Pray[/color]
Due to its high rate of fire, this tower often misses its target.

"
21,"[color=LIGHT_BLUE]A huge, high rate of fire tower[/color]
[color=YELLOW]Author:[/color] Cyony
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1682[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]750[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GOLD]+3%[/color] attack speed/lvl

 
[color=GOLD]Spray and Pray[/color]
Due to its high rate of fire, this tower often misses its target.

"
22,"[color=LIGHT_BLUE]A titanic, high rate of fire tower[/color]
[color=YELLOW]Author:[/color] Cyony
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]2740[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]750[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GOLD]+3%[/color] attack speed/lvl

 
[color=GOLD]Spray and Pray[/color]
Due to its high rate of fire, this tower often misses its target.

"
23,"[color=LIGHT_BLUE]An elven mage who has devoted his entire life to the study of time.[/color]
[color=YELLOW]Author:[/color] Majildian
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1331[/color] dps, [color=00bfffff]Magic[/color], [color=GOLD]950[/color] range
 
[color=GOLD]Future Knowledge[/color]
The Manipulator travels into the future to learn more and returns to where he left every [color=GOLD]10[/color] seconds.
 
[color=GOLD]Time Twist - Aura[/color]
The Manipulator reaches into the timestream and brings bonuses to nearby towers.

 
[color=GOLD]Time Field[/color]
The Manipulator creates a field of time that inflicts future injuries upon creatures around him.
 
Mana cost: [color=GOLD]500[/color], [color=GOLD]950[/color] range, [color=GOLD]30s[/color] cooldown

"
24,"[color=LIGHT_BLUE]A small colony of bugs.[/color]
[color=YELLOW]Author:[/color] Majildian
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]515[/color] dps, [color=d2b48cff]Physical[/color], [color=GOLD]725[/color] range
 
[color=GOLD]Swarm of Bugs[/color]
On kill, produces bugs that increase the damage of this tower.

"
25,"[color=LIGHT_BLUE]A colony of bugs.[/color]
[color=YELLOW]Author:[/color] Majildian
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]988[/color] dps, [color=d2b48cff]Physical[/color], [color=GOLD]725[/color] range
 
[color=GOLD]Swarm of Bugs[/color]
On kill, produces bugs that increase the damage of this tower.

"
26,"[color=LIGHT_BLUE]A large colony of bugs.[/color]
[color=YELLOW]Author:[/color] Majildian
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1675[/color] dps, [color=d2b48cff]Physical[/color], [color=GOLD]725[/color] range
 
[color=GOLD]Swarm of Bugs[/color]
On kill, produces bugs that increase the damage of this tower.

"
27,"[color=LIGHT_BLUE]A huge colony of bugs.[/color]
[color=YELLOW]Author:[/color] Majildian
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]2578[/color] dps, [color=d2b48cff]Physical[/color], [color=GOLD]725[/color] range
 
[color=GOLD]Swarm of Bugs[/color]
On kill, produces bugs that increase the damage of this tower.

"
28,"[color=LIGHT_BLUE]Tower with a chance to cast an ice nova.[/color]
[color=YELLOW]Author:[/color] Velex
[color=YELLOW]Element:[/color] [color=6495edff]Ice[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]140[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Ice Nova[/color]
Has a chance to deal AoE damage and slow creeps around the target.

"
29,"[color=LIGHT_BLUE]Tower with a chance to cast an ice nova.[/color]
[color=YELLOW]Author:[/color] Velex
[color=YELLOW]Element:[/color] [color=6495edff]Ice[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]460[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Ice Nova[/color]
Has a chance to deal AoE damage and slow creeps around the target.

"
30,"[color=LIGHT_BLUE]Tower with a chance to cast an ice nova.[/color]
[color=YELLOW]Author:[/color] Velex
[color=YELLOW]Element:[/color] [color=6495edff]Ice[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1134[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Ice Nova[/color]
Has a chance to deal AoE damage and slow creeps around the target.

"
31,"[color=LIGHT_BLUE]A powerful iron tower that will go to great lengths to defend its territory.[/color]
[color=YELLOW]Author:[/color] Glowackos
[color=YELLOW]Element:[/color] [color=d2b48cff]Iron[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]507[/color] dps, [color=d2b48cff]Physical[/color], [color=GOLD]925[/color] range
 
[color=GOLD]Alert[/color]
Nearby towers get alerted of trespassers.
 
[color=GOLD]Trespasser Awareness[/color]
This tower strengthens its defenses when uninvited units enter its territory. There is also a chance that the trespassing creep will permanently have its armor reduced.

"
32,"[color=LIGHT_BLUE]A powerful iron tower that will go to great lengths to defend its territory.[/color]
[color=YELLOW]Author:[/color] Glowackos
[color=YELLOW]Element:[/color] [color=d2b48cff]Iron[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]853[/color] dps, [color=d2b48cff]Physical[/color], [color=GOLD]925[/color] range
 
[color=GOLD]Alert[/color]
Nearby towers get alerted of trespassers.
 
[color=GOLD]Trespasser Awareness[/color]
This tower strengthens its defenses when uninvited units enter its territory. There is also a chance that the trespassing creep will permanently have its armor reduced.

"
33,"[color=LIGHT_BLUE]A powerful iron tower that will go to great lengths to defend its territory.[/color]
[color=YELLOW]Author:[/color] Glowackos
[color=YELLOW]Element:[/color] [color=d2b48cff]Iron[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1387[/color] dps, [color=d2b48cff]Physical[/color], [color=GOLD]925[/color] range
 
[color=GOLD]Alert[/color]
Nearby towers get alerted of trespassers.
 
[color=GOLD]Trespasser Awareness[/color]
This tower strengthens its defenses when uninvited units enter its territory. There is also a chance that the trespassing creep will permanently have its armor reduced.

"
34,"[color=LIGHT_BLUE]When you think it looks very fragile, you're right. But its also a devastating machine.[/color]
[color=YELLOW]Author:[/color] cedi
[color=YELLOW]Element:[/color] [color=d2b48cff]Iron[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1647[/color] dps, [color=9370dbff]Decay[/color], [color=GOLD]900[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GREENYELLOW]Splash attack:[/color]
	[color=GOLD]75[/color] AoE: [color=GOLD]100%[/color] damage
	[color=GOLD]100[/color] AoE: [color=GOLD]66%[/color] damage
	[color=GOLD]125[/color] AoE: [color=GOLD]33%[/color] damage

 
[color=GOLD]Grapple[/color]
Chance to grab the target, holding it in place for [color=GOLD]2.5[/color] seconds.

 
[color=GOLD]Shock[/color]
Slams all creeps in around the target, dealing damage and stunning them.

 
Mana cost: [color=GOLD]50[/color], [color=GOLD]900[/color] range, [color=GOLD]15s[/color] cooldown

"
35,"[color=LIGHT_BLUE]Basic tower with low splash damage[/color]
[color=YELLOW]Author:[/color] geX
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]2035[/color] dps, [color=6495edff]Elemental[/color], [color=GOLD]900[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GREENYELLOW]Splash attack:[/color]
	[color=GOLD]200[/color] AoE: [color=GOLD]25%[/color] damage

"
36,"[color=LIGHT_BLUE]An old relict from the time of the first war against the burning legion. It brings pure chaos to everthing around it. [/color]
[color=YELLOW]Author:[/color] cedi
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1986[/color] dps, [color=9370dbff]Decay[/color], [color=GOLD]750[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GOLD]+25%[/color] damage to humanoids ([color=GOLD]+1%[/color]/lvl)

 
[color=GOLD]Chaos[/color]
All creeps that come in range have a chance to lose their armor.

"
37,"[color=LIGHT_BLUE]Unique Tower that is able to backtrack creeps in time and changes timelines to benefit other towers by increasing their triggerchances. [/color]
[color=YELLOW]Author:[/color] SirCoqalot./TrinkaLot.
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]2273[/color] dps, [color=00bfffff]Magic[/color], [color=GOLD]850[/color] range
 
[color=GOLD]Time Travel[/color]
Damaged targets will be teleported back in time after a delay.
 
[color=GOLD]Timesurge - Aura[/color]
Increases triggerchance of nearby towers.

"
38,"[color=LIGHT_BLUE]An ancient building, storing the power of storms. [/color]
[color=YELLOW]Author:[/color] Natac
[color=YELLOW]Element:[/color] [color=ffffe0ff]Storm[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1185[/color] dps, [color=1e90ffff]Energy[/color], [color=GOLD]900[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GOLD]+500[/color] mana/lvl

 
[color=GOLD]Cloud of Absorption - Aura[/color]
Creates a lightning ball if a creep in range is killed with more damage than needed. The lighting ball absorbs the redundant damage and transfers it to this temple as mana.

 
[color=GOLD]Cloudy Thunderstorm[/color]
Summons a cloudy thunderstorm, which strikes random creeps in range.

 
Mana cost: [color=GOLD]1000[/color], [color=GOLD]0.01s[/color] cooldown

 
[color=GOLD]Adjust Autocast Threshold[/color]
Use this ability to adjust the percentual mana required for Cloudy Thunderstorm's autocast.

 
[color=GOLD]0.01s[/color] cooldown

"
39,"[color=LIGHT_BLUE]Rare tower with a chance to turn lesser creeps into gold instantly. Gains additional gold for each kill and will do more damage the more gold you have.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=d2b48cff]Iron[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]725[/color] dps, [color=d2b48cff]Physical[/color], [color=GOLD]875[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GOLD]+30%[/color] bounty received ([color=GOLD]+1.2%[/color]/lvl)

 
[color=GOLD]Transmute[/color]
This tower has a chance on attack to turn a lesser creep into gold.
 
[color=GOLD]Gold Gree[/color]
On attack this tower deals spell damage which scales with current player gold.

"
40,"[color=LIGHT_BLUE]Rare tower with a chance to turn lesser creeps into gold instantly. Gains additional gold for each kill and will do more damage the more gold you have.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=d2b48cff]Iron[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1923[/color] dps, [color=d2b48cff]Physical[/color], [color=GOLD]875[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GOLD]+40%[/color] bounty received ([color=GOLD]+1.6%[/color]/lvl)

 
[color=GOLD]Transmute[/color]
This tower has a chance on attack to turn a lesser creep into gold.
 
[color=GOLD]Gold Gree[/color]
On attack this tower deals spell damage which scales with current player gold.

"
41,"[color=LIGHT_BLUE]A tiny desert plant with a high AoE. Slightly more efficient against mass creeps and humans.[/color]
[color=YELLOW]Author:[/color] Lapsus
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]23[/color] dps, [color=7fffd4ff]Essence[/color], [color=GOLD]820[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GREENYELLOW]Splash attack:[/color]
	[color=GOLD]320[/color] AoE: [color=GOLD]50%[/color] damage
[color=GOLD]+15%[/color] damage to masses ([color=GOLD]+1%[/color]/lvl)
[color=GOLD]+15%[/color] damage to humanoids ([color=GOLD]+1%[/color]/lvl)

"
42,"[color=LIGHT_BLUE]A pricklier desert plant with a high AoE. Moderately more efficient against mass creeps and humans.[/color]
[color=YELLOW]Author:[/color] Lapsus
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]287[/color] dps, [color=7fffd4ff]Essence[/color], [color=GOLD]820[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GREENYELLOW]Splash attack:[/color]
	[color=GOLD]320[/color] AoE: [color=GOLD]50%[/color] damage
[color=GOLD]+19%[/color] damage to masses ([color=GOLD]+1.2%[/color]/lvl)
[color=GOLD]+19%[/color] damage to humanoids ([color=GOLD]+1.2%[/color]/lvl)

"
43,"[color=LIGHT_BLUE]A troublesome desert plant with a high AoE. Moderately more efficient against mass creeps and humans.[/color]
[color=YELLOW]Author:[/color] Lapsus
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]568[/color] dps, [color=7fffd4ff]Essence[/color], [color=GOLD]820[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GREENYELLOW]Splash attack:[/color]
	[color=GOLD]320[/color] AoE: [color=GOLD]50%[/color] damage
[color=GOLD]+21%[/color] damage to masses ([color=GOLD]+1.3%[/color]/lvl)
[color=GOLD]+21%[/color] damage to humanoids ([color=GOLD]+1.3%[/color]/lvl)

"
44,"[color=LIGHT_BLUE]A troublesome desert plant with a high AoE. Efficient against mass creeps and humans.[/color]
[color=YELLOW]Author:[/color] Lapsus
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]998[/color] dps, [color=7fffd4ff]Essence[/color], [color=GOLD]820[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GREENYELLOW]Splash attack:[/color]
	[color=GOLD]320[/color] AoE: [color=GOLD]50%[/color] damage
[color=GOLD]+23%[/color] damage to masses ([color=GOLD]+1.4%[/color]/lvl)
[color=GOLD]+23%[/color] damage to humanoids ([color=GOLD]+1.4%[/color]/lvl)

"
45,"[color=LIGHT_BLUE]A lethal desert plant with a high AoE. Very efficient against mass creeps and humans.[/color]
[color=YELLOW]Author:[/color] Lapsus
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1625[/color] dps, [color=7fffd4ff]Essence[/color], [color=GOLD]820[/color] range
 
[color=YELLOW]Specials:[/color]
[color=GREENYELLOW]Splash attack:[/color]
	[color=GOLD]320[/color] AoE: [color=GOLD]50%[/color] damage
[color=GOLD]+25%[/color] damage to masses ([color=GOLD]+1.6%[/color]/lvl)
[color=GOLD]+25%[/color] damage to humanoids ([color=GOLD]+1.6%[/color]/lvl)

"
46,"[color=LIGHT_BLUE]A powerful vortex with the ability to move things through space itself. [/color]
[color=YELLOW]Author:[/color] i_m0ck_death
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1434[/color] dps, [color=1e90ffff]Energy[/color], [color=GOLD]750[/color] range
 
[color=GOLD]Spacial Rift[/color]
This tower has chance to move damaged creeps back by [color=GOLD]175[/color] units.
 
[color=GOLD]Presence of the Rift - Aura[/color]
Deals periodic damage to creeps in range, scaled by their movement speed.

"
47,"[color=LIGHT_BLUE]Advanced nature tower that will deal damage in an AoE around itself and will slow damaged targets. Also gives nearby towers a chance to deal damage and slow targets in an AoE around iteself. [/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1150[/color] dps, [color=9370dbff]Decay[/color], [color=GOLD]750[/color] range
 
[color=YELLOW]Specials:[/color]
[color=RED]Attacks GROUND only[/color]

 
[color=GOLD]Ground Smash[/color]
Damages all creeps in range and slows them.
 
[color=GOLD]Earthquake Aura - Aura[/color]
Towers in range have a chance to trigger Ground Smash.

"
48,"[color=LIGHT_BLUE]Advanced Nature tower that is able to release a spray of thorns from it's back. [/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]431[/color] dps, [color=d2b48cff]Physical[/color], [color=GOLD]800[/color] range
 
[color=GOLD]Occasional Quillspray[/color]
On attack this tower has a chance to trigger a Quillspray.

 
[color=GOLD]Quillspray[/color]
This tower releases thorns from its back, damaging every unit in range.

 
Mana cost: [color=GOLD]5[/color], [color=GOLD]800[/color] range, [color=GOLD]0.2s[/color] cooldown

"
49,"[color=LIGHT_BLUE]The spirit of a watcher left to look over the ruins.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]136[/color] dps, [color=1e90ffff]Energy[/color], [color=GOLD]1200[/color] range
 
[color=GOLD]Lunar Grace[/color]
Smites a target creep with a chance to stun the creep and make it more vulnerable to spells.

 
[color=GOLD]1200[/color] range, [color=GOLD]2s[/color] cooldown

"
50,"[color=LIGHT_BLUE]The spirit of a watcher left to look over the ruins.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]408[/color] dps, [color=1e90ffff]Energy[/color], [color=GOLD]1200[/color] range
 
[color=GOLD]Lunar Grace[/color]
Smites a target creep with a chance to stun the creep and make it more vulnerable to spells.

 
[color=GOLD]1200[/color] range, [color=GOLD]2s[/color] cooldown

"
51,"[color=LIGHT_BLUE]The spirit of a watcher left to look over the ruins.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]680[/color] dps, [color=1e90ffff]Energy[/color], [color=GOLD]1200[/color] range
 
[color=GOLD]Lunar Grace[/color]
Smites a target creep with a chance to stun the creep and make it more vulnerable to spells.

 
[color=GOLD]1200[/color] range, [color=GOLD]2s[/color] cooldown

"
