tower_id,name,radius,targets_creeps,affected_by_farseer
203,Melt,900,TRUE,FALSE
204,Aura 1,900,TRUE,TRUE
204,Melt,900,TRUE,FALSE
210,Lightmare,1500,TRUE,FALSE
212,Twin Pulses,900,TRUE,FALSE
213,Twin Pulses,900,TRUE,FALSE
214,Aura 1,500,FALSE,TRUE
214,Sunlight Burst,1000,FALSE,FALSE
216,Recreation Field,800,TRUE,FALSE
216,Corruption Field,800,TRUE,FALSE
221,Aura 1,200,FALSE,TRUE
224,Aura 1,200,FALSE,TRUE
242,Thunderous Roar,420,FALSE,FALSE
243,Thunderous Roar,420,FALSE,FALSE
244,Thunderous Roar,420,FALSE,FALSE
245,Thunderous Roar,420,FALSE,FALSE
247,Thunderous Roar,420,FALSE,FALSE
253,Aura 1,450,FALSE,TRUE
253,Entangling Roots,1000,TRUE,FALSE
253,Thorned!,950,TRUE,FALSE
254,Aura 1,200,FALSE,TRUE
255,Aura 1,200,FALSE,TRUE
256,Aura 1,200,FALSE,TRUE
257,Aura 1,200,FALSE,TRUE
258,Aura 1,200,FALSE,TRUE
262,Aura 1,400,FALSE,TRUE
262,Valor's Light,800,TRUE,FALSE
262,Valor's Light,400,FALSE,FALSE
266,Aura 1,300,FALSE,TRUE
267,Aura 1,350,FALSE,TRUE
288,Aura 1,250,FALSE,TRUE
289,Aura 1,250,FALSE,TRUE
295,Aura 1,400,FALSE,TRUE
295,Impenetrable Darkness,850,TRUE,FALSE
296,Aura 1,800,TRUE,TRUE
297,Aura 1,1100,TRUE,TRUE
303,Aura 1,900,TRUE,TRUE
303,Strong Wind,900,TRUE,FALSE
306,Aura 1,2150,TRUE,TRUE
306,Dimensional Link,800,FALSE,FALSE
306,Dimensional Monitor,2000,TRUE,FALSE
317,Will of the Undying,200,FALSE,FALSE
317,Withering Presence,900,TRUE,FALSE
319,Morphling Strike,900,TRUE,FALSE
320,Battery Overload,1200,TRUE,FALSE
321,Battery Overload,1200,TRUE,FALSE
322,Battery Overload,1200,TRUE,FALSE
325,Activate Trap,950,TRUE,FALSE
331,Battery Overload,1200,TRUE,FALSE
332,Battery Overload,1200,TRUE,FALSE
334,Battery Overload,1200,TRUE,FALSE
335,Sacrifice,500,FALSE,FALSE
335,Blood Spill,200,FALSE,FALSE
336,Sacrifice,500,FALSE,FALSE
336,Blood Spill,200,FALSE,FALSE
345,Battery Overload,1200,TRUE,FALSE
346,Battery Overload,1200,TRUE,FALSE
347,Battery Overload,1200,TRUE,FALSE
348,Battery Overload,1200,TRUE,FALSE
349,Battery Overload,1200,TRUE,FALSE
350,Battery Overload,1200,TRUE,FALSE
351,Battery Overload,1200,TRUE,FALSE
352,Battery Overload,1200,TRUE,FALSE
353,Battery Overload,1200,TRUE,FALSE
357,Battery Overload,1200,TRUE,FALSE
358,Battery Overload,1200,TRUE,FALSE
359,Battery Overload,1200,TRUE,FALSE
369,Aura 1,200,FALSE,TRUE
370,Aura 1,200,FALSE,TRUE
371,Aura 1,200,FALSE,TRUE
372,Aura 1,0,FALSE,TRUE
372,Blood of Ymir,900,TRUE,FALSE
373,Probability Field Emitter,500,FALSE,FALSE
373,Clockwork Engineer,500,FALSE,FALSE
377,Mystical Trance,900,FALSE,FALSE
386,Aura 1,175,FALSE,TRUE
391,Aura 1,450,FALSE,TRUE
392,Aura 1,250,FALSE,TRUE
392,Bloodlust,500,FALSE,FALSE
393,Aura 1,300,FALSE,TRUE
393,Bloodlust,500,FALSE,FALSE
394,Aura 1,350,FALSE,TRUE
394,Bloodlust,500,FALSE,FALSE
396,Nature's Gift,500,FALSE,FALSE
397,Nature's Gift,500,FALSE,FALSE
398,Nature's Gift,500,FALSE,FALSE
399,Aura 1,350,FALSE,TRUE
399,Unleash Attack,1200,TRUE,FALSE
399,Unleash Buff,350,FALSE,FALSE
415,Aura 1,1300,TRUE,TRUE
416,Aura 1,1300,TRUE,TRUE
427,Knowledge,600,FALSE,FALSE
428,Knowledge,600,FALSE,FALSE
429,Knowledge,600,FALSE,FALSE
430,Knowledge,600,FALSE,FALSE
431,Knowledge,600,FALSE,FALSE
432,Knowledge,600,FALSE,FALSE
433,Aura 1,350,FALSE,TRUE
434,Aura 1,350,FALSE,TRUE
434,Intense Heat Buff,350,FALSE,FALSE
434,Unleash Buff,350,FALSE,FALSE
435,Glaivesaw,1000,FALSE,FALSE
453,Aura 1,775,TRUE,TRUE
461,Aura 1,300,FALSE,TRUE
466,Aura 1,300,FALSE,TRUE
467,Aura 1,300,FALSE,TRUE
468,Aura 1,700,TRUE,TRUE
469,Aura 1,550,FALSE,TRUE
471,Aura 1,200,FALSE,TRUE
472,Aura 1,250,FALSE,TRUE
473,Aura 1,300,FALSE,TRUE
480,Aura 1,900,TRUE,TRUE
480,Divine Teachings,500,FALSE,FALSE
480,Divine Knowledge,500,FALSE,FALSE
524,Burning Mark,500,FALSE,FALSE
538,Aura 1,200,FALSE,TRUE
543,Aura 1,1100,TRUE,TRUE
556,Golden Influence,400,FALSE,FALSE
557,Golden Influence,400,FALSE,FALSE
562,Aura 1,800,TRUE,TRUE
563,Aura 1,350,FALSE,TRUE
564,Aura 1,350,FALSE,TRUE
569,Aura 1,350,FALSE,TRUE
575,Attraction,500,FALSE,FALSE
576,Aura 1,1000,TRUE,TRUE
577,Aura 1,200,FALSE,TRUE
577,Replenish,500,FALSE,FALSE
578,Aura 1,200,FALSE,TRUE
578,Replenish,500,FALSE,FALSE
579,Aura 1,200,FALSE,TRUE
579,Replenish,500,FALSE,FALSE
604,Aura 1,500,FALSE,TRUE
605,Aura 1,500,FALSE,TRUE
606,Aura 1,500,FALSE,TRUE
607,Aura 1,175,FALSE,TRUE
608,Aura 1,300,FALSE,TRUE
609,Aura 1,300,FALSE,TRUE
610,Aura 1,300,FALSE,TRUE
611,Aura 1,300,FALSE,TRUE
623,Activate Trap,950,TRUE,FALSE
624,Activate Trap,950,TRUE,FALSE
625,Activate Trap,950,TRUE,FALSE
626,Activate Trap,950,TRUE,FALSE
631,Aura 1,1000,TRUE,TRUE
631,Revenge of Souls,1000,TRUE,FALSE
632,Aura 1,1000,TRUE,TRUE
632,Revenge of Souls,1000,TRUE,FALSE
633,Aura 1,1000,TRUE,TRUE
633,Revenge of Souls,1000,TRUE,FALSE
644,Nova Storm,900,TRUE,FALSE
645,Army of the Damned,1150,TRUE,FALSE
646,Nova Storm,900,TRUE,FALSE
647,Nova Storm,900,TRUE,FALSE
649,Aura 1,900,TRUE,TRUE
