"id","name english","script name","type","author","rarity","cost","required wave level","specials","ability list","aura list","autocast list","script path","icon","name","description"
52,"Zombie Head","Item52","regular","Boekie","uncommon",613,33,"MOD_DAMAGE_ADD_PERC,0.75,0.01|MOD_ITEM_CHANCE_ON_KILL,-0.5,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/faces/mech_zombie.tres","A9H7","K8AL"
53,"Morgul Slave","Item53","regular","Boekie","uncommon",247,11,"MOD_ATTACKSPEED,0.01,0.001|MOD_DAMAGE_ADD_PERC,0.03,0.002|MOD_ATK_CRIT_CHANCE,0.005,0.0005",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/animals/bat_02.tres","QLZQ","QI4V"
54,"Tiny Rabbit","Item54","regular","Boekie","uncommon",117,3,"MOD_EXP_RECEIVED,0.02,0|MOD_BOUNTY_RECEIVED,0.02,0|MOD_ITEM_CHANCE_ON_KILL,0.02,0|MOD_ITEM_QUALITY_ON_KILL,0.02,0|MOD_MANA_PERC,0.02,0|MOD_MANA_REGEN_PERC,0.02,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/animals/rabbit.tres","A7JW","SSHV"
55,"Flaming Arrow","Item55","regular","Boekie","uncommon",873,49,"MOD_ATTACKSPEED,0.1,0.005|MOD_ATK_CRIT_DAMAGE,0.1,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/spears/many_spears_01.tres","QZ8C","AJ96"
56,"Bhaal's Essence","Item56","regular","poussix","unique",2727,83,"MOD_DEBUFF_DURATION,-0.6,0",,"91",,"res://src/items/item_behaviors/bhaals_essence.gd","res://resources/icons/animals/dragon_04.tres","U8MG","WLLE"
57,"Electrified Horseshoe","Item57","regular","Neotopia","common",1047,79,"MOD_ATTACKSPEED,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/rings/ring_07.tres","G5Y7","ENAN"
58,"War Drum","Item58","regular","Neotopia","unique",1325,38,,,"92",,"res://src/items/item_behaviors/war_drum.gd","res://resources/icons/fire/fire_bowl_03.tres","GPPH","T6WU"
59,"Silver Armor","Item59","regular","Boekie","rare",1410,58,"MOD_ATTACKSPEED,0.05,0|MOD_DAMAGE_ADD_PERC,0.1,0","621",,,"res://src/items/item_behaviors/silver_armor.gd","res://resources/icons/armor/chest_plate.tres","RCZ4","PRU2"
60,"Flag of the Allegiance","Item60","regular","Boekie","unique",800,21,,,"93",,"res://src/items/item_behaviors/flag_of_the_allegiance.gd","res://resources/icons/misc/flag_01.tres","RECP","ZSZC"
61,"Golden Decoration","Item61","regular","Boekie","unique",851,23,"MOD_BOUNTY_RECEIVED,0.1,0.004","622",,,"res://src/items/item_behaviors/golden_decoration.gd","res://resources/icons/trinkets/trinket_05.tres","JLON","QYFR"
62,"Jewels of the Moon","Item62","regular","drol","unique",1132,32,"MOD_TRIGGER_CHANCES,0.2,0","623",,,"res://src/items/item_behaviors/jewels_of_the_moon.gd","res://resources/icons/misc/balls_01.tres","8UB3","2BYR"
63,"Magic Vial","Item63","regular","boekie","uncommon",402,20,"MOD_MANA_REGEN_PERC,0.1,0.004|MOD_BUFF_DURATION,0.1,0.004",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/potions/potion_10.tres","E2YS","5SSQ"
64,"Small Stone","Item64","regular","cedi","common",70,1,"MOD_DAMAGE_ADD_PERC,0.01,0.004",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/gems/stone_01.tres","N1SB","7A2V"
65,"Fairy's Wand","Item65","regular","cedi","common",56,0,"MOD_MANA_REGEN,0.1,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/staves/wand_05.tres","65N5","52CN"
66,"Fancy Lights","Item66","regular","cedi","common",67,1,"MOD_MANA_REGEN_PERC,0.1,0.001",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/magic/fire.tres","IDBQ","3OC4"
67,"Floating Mark","Item67","regular","cedi","common",177,10,"MOD_DAMAGE_ADD_PERC,0.02,0.001|MOD_ATK_CRIT_CHANCE,0.02,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/mechanical/compass.tres","XCLK","G4R1"
68,"Blunt Club","Item68","regular","drol","common",79,2,"MOD_DAMAGE_ADD_PERC,0.025,0|MOD_ATK_CRIT_CHANCE,0.01,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/clubs/club_01.tres","R759","6B2M"
69,"Ledger","Item69","regular","drol","common",56,0,"MOD_BOUNTY_RECEIVED,0.1,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/books/book_09.tres","FCW3","Y5V4"
70,"Collection of Stories","Item70","regular","drol","common",60,0,"MOD_EXP_RECEIVED,0.14,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/books/note_03.tres","SZUJ","CH5H"
71,"Old Spear","Item71","regular","drol","common",60,0,"MOD_ATK_CRIT_CHANCE,0.014,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/spears/spear_01.tres","ES0C","307L"
72,"Primitive Flute","Item72","regular","drol","common",60,0,"MOD_SPELL_DAMAGE_DEALT,0.06,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/misc/teapot_03.tres","CKKT","GSDC"
73,"Wooden Leg","Item73","regular","drol","common",60,0,"MOD_ATTACKSPEED,0.03,0",,,,"res://src/items/item_behaviors/wooden_leg.gd","res://resources/icons/blunt_weapons/wood_02.tres","UABJ","XBAC"
74,"Axe of Decapitation","Item74","regular","cedi","uncommon",293,14,"MOD_DMG_TO_UNDEAD,-0.1,0|MOD_DMG_TO_MAGIC,-0.1,0|MOD_DMG_TO_NATURE,-0.1,0|MOD_DMG_TO_ORC,-0.1,0|MOD_DMG_TO_HUMANOID,1,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/weapons_misc/glaive_01.tres","XVJ2","6DZB"
75,"Void Vial","Item75","regular","cedi","common",103,4,"MOD_DMG_TO_MAGIC,0.5,0|MOD_MANA_REGEN_PERC,-0.1,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/potions/potion_09.tres","6EET","9N7D"
76,"Claws of Ursus","Item76","regular","drol","rare",1161,47,"MOD_DAMAGE_ADD_PERC,0.25,0|MOD_MANA_PERC,0.25,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/trinkets/trinket_07.tres","PBZQ","9NF3"
77,"Claws of Wisdom","Item77","regular","drol","uncommon",14,0,"MOD_ATTACKSPEED,-0.16,0|MOD_EXP_RECEIVED,0.8,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/trinkets/trinket_08.tres","MSQM","VK4K"
78,"Inscribed Bark","Item78","regular","drol","common",36,0,"MOD_DMG_TO_MAGIC,0.15,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/shields/shield_wood_small.tres","N4A2","4YO7"
79,"Rusted Rifle","Item79","regular","drol","common",36,0,"MOD_DMG_TO_HUMANOID,0.15,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/cannons/gun_01.tres","NLSH","WB8M"
80,"Short Sword","Item80","regular","Boekie","common",56,0,"MOD_DAMAGE_ADD_PERC,0.05,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/swords/sword_01.tres","D348","5ZON"
81,"Pillage Tools","Item81","regular","drol","uncommon",210,8,"MOD_BOUNTY_RECEIVED,0,0.02",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/swords/greatsword_01.tres","U5XS","1M42"
82,"Touch of a Spirit","Item82","regular","drol","uncommon",79,0,"MOD_DAMAGE_ADD_PERC,-0.1,0|MOD_SPELL_DAMAGE_DEALT,-0.1,0|MOD_MANA_REGEN_PERC,0.5,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/animals/fish_04.tres","95D9","KS0A"
83,"Periscope","Item83","regular","drol","uncommon",79,0,"MOD_TRIGGER_CHANCES,0.05,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/cannons/cannon_08.tres","A39Y","89OB"
84,"Ancient Inscribed Bark","Item84","regular","drol","uncommon",63,0,"MOD_DPS_ADD,5,0|MOD_DMG_TO_MAGIC,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/shields/shield_wood_small_glowing.tres","YMX0","8ZJX"
85,"Blessed Holy Scepter","Item85","regular","drol","uncommon",63,0,"MOD_DPS_ADD,5,0|MOD_DMG_TO_UNDEAD,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/holy/cross_03.tres","KW6N","M17F"
86,"Blunderbuss Rifle","Item86","regular","drol","uncommon",63,0,"MOD_DPS_ADD,5,0|MOD_DMG_TO_HUMANOID,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/cannons/gun_02.tres","2UHB","6ICT"
87,"Thick Tree Branch","Item87","regular","drol","uncommon",63,0,"MOD_DPS_ADD,5,0|MOD_DMG_TO_ORC,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/plants/stump.tres","9I8Y","DMIL"
88,"Undead Spiked Claws","Item88","regular","drol","uncommon",63,0,"MOD_DPS_ADD,5,0|MOD_DMG_TO_NATURE,0.2,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/undead/skull_wand_03.tres","0P87","7T2P"
89,"Dull Axe","Item89","regular","Majildian","common",154,8,"MOD_ATK_CRIT_DAMAGE,0.325,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/weapons_misc/axe_01.tres","KQQC","TFJT"
90,"Hunting Map","Item90","regular","drol","uncommon",210,8,"MOD_EXP_RECEIVED,0.12,0|MOD_ITEM_CHANCE_ON_KILL,0.06,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/dioramas/mountain.tres","1H45","GA4A"
91,"Shimmerweed","Item91","regular","drol","common",964,73,"MOD_DMG_TO_ORC,0.45,0|MOD_SPELL_DAMAGE_DEALT,0.25,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/trinkets/trinket_03.tres","IG25","QREU"
92,"Inscribed Pebble","Item92","regular","drol","common",1092,83,"MOD_DMG_TO_MAGIC,0.24,0|MOD_SPELL_CRIT_CHANCE,0.1,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/orbs/orb_molten_dull.tres","11NJ","VF45"
93,"Gift of the Wild","Item93","regular","drol","common",1019,77,"MOD_DAMAGE_ADD_PERC,0.125,0|MOD_SPELL_DAMAGE_DEALT,0.125,0|MOD_EXP_RECEIVED,0.125,0|MOD_MANA_PERC,0.125,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/magic/bowl_02.tres","PG0V","LPK5"
94,"Mining Lamp","Item94","regular","drol","common",1047,79,"MOD_ITEM_CHANCE_ON_KILL,0.28,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/mechanical/lamp.tres","RC6E","ZO86"
95,"Voodoo Doll","Item95","regular","drol","uncommon",172,6,"MOD_ATTACKSPEED,0,0.005",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/undead/skull_doll.tres","NTSK","SCQE"
96,"Spiked Club","Item96","regular","drol","uncommon",207,8,"MOD_DAMAGE_ADD_PERC,0.025,0|MOD_ATK_CRIT_CHANCE,0.025,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/clubs/club_03.tres","K3L9","CYRX"
97,"Mini Tank","Item97","regular","cedi","uncommon",1466,86,"MOD_DPS_ADD,1000,0|MOD_MANA_REGEN_PERC,0.2,0.002",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/animals/mech_toad.tres","APSD","EY9W"
98,"Faded Gloves","Item98","regular","Majildian","common",151,8,"MOD_ATTACKSPEED,0.055,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/gloves/gloves_01.tres","MQZ9","POVC"
99,"Rusty Mining Pick","Item99","regular","Boekie","common",36,0,"MOD_ITEM_CHANCE_ON_KILL,0.12,0|MOD_ITEM_QUALITY_ON_KILL,-0.12,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/weapons_misc/mining_pick_01.tres","60AW","ZBDM"
100,"Arcane Eye","Item100","regular","cedi","uncommon",1377,80,"MOD_SPELL_DAMAGE_DEALT,0.48,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/magic/eye_blue.tres","8GA6","R2Y8"
101,"Thunder Gloves","Item101","regular","cedi","rare",1924,81,"MOD_ATTACKSPEED,0.2,0|MOD_SPELL_CRIT_DAMAGE,0.7,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/gloves/gloves_07.tres","0CGR","8RPW"
102,"Polarisator","Item102","regular","cedi","uncommon",1161,67,"MOD_ATK_CRIT_CHANCE,0.1,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/magic/lock_03.tres","8DF1","NY95"
103,"Priest Figurine","Item103","regular","Boekie","unique",250,4,,"624",,,"res://src/items/item_behaviors/priest_figurine.gd","res://resources/icons/holy/altar.tres","9TNT","Z0RH"
104,"Old Crystal Ball","Item104","regular","Majildian","common",151,8,"MOD_ITEM_CHANCE_ON_KILL,0.077,0",,,,"res://src/items/item_behaviors/empty_item_behavior.gd","res://resources/icons/orbs/orb_ice.tres","1S6L","NX5B"
105,"Spiderling","Item105","regular","Boekie","rare",50,0,,"625",,,"res://src/items/item_behaviors/spiderling.gd","res://resources/icons/animals/spider_03.tres","I2CQ","86CU"
