"keys","en","cn"
"6IEH","This skull was used in a necromantic ceremony.","This skull was used in a necromantic ceremony."
"1SML","This mythical item is created by a night elf wizard.","This mythical item is created by a night elf wizard."
"FASD","The pages look faded, still some power remains living inside the tome.","The pages look faded, still some power remains living inside the tome."
"VWMA","A decaying hand that glows with necromantic power.","A decaying hand that glows with necromantic power."
"YLN5","Still burning hot!","Still burning hot!"
"Z3ZF","Simple Bomb Shells. Particularly effective against clusters of enemies.","Simple Bomb Shells. Particularly effective against clusters of enemies."
"0I0D","Once the hand of an evil and powerful wizard, this hand only has a fraction of the power it once could cast.","Once the hand of an evil and powerful wizard, this hand only has a fraction of the power it once could cast."
"MPHM","So heavy it is nearly impossible to move this giant rock.","So heavy it is nearly impossible to move this giant rock."
"7ZH0","This tree branch was cut from a magic tree.","This tree branch was cut from a magic tree."
"Q0B9","This sheep is hexed by a wizard, it's so small that you can put it in your pocket.","This sheep is hexed by a wizard, it's so small that you can put it in your pocket."
"SR0B","This map has an x on it, maybe a treasure is located there?","This map has an x on it, maybe a treasure is located there?"
"0ZCZ","This giant piece of meat is the favorite of very hungry warriors.","This giant piece of meat is the favorite of very hungry warriors."
"MFWG","This piece of wing belonged to a gargoyle statue.","This piece of wing belonged to a gargoyle statue."
"7ODQ","This figurine was found in the ruins of a city located in the jungle.","This figurine was found in the ruins of a city located in the jungle."
"PGZO","Magical powers slumber in this ring.","Magical powers slumber in this ring."
"LH6M","Drink the Wine of Aluqah and breathe the secret smoke of God.","Drink the Wine of Aluqah and breathe the secret smoke of God."
"RIEH","This mask alters the wearers sanity in different ways.","This mask alters the wearers sanity in different ways."
"74BN","The legendary Sword of the Kings.","The legendary Sword of the Kings."
"RNQ6","Opens the Gates to ones mind, making it sharper and clearer.","Opens the Gates to ones mind, making it sharper and clearer."
"BKJB","This shell once was a home of a magic creature.","This shell once was a home of a magic creature."
"3LA8","A bag of enchanted dice that increase the tower's chances.","A bag of enchanted dice that increase the tower's chances."
"7VEA","Faintly glows in the dark.","Faintly glows in the dark."
"FNMM","The magical hammer radiates power.","The magical hammer radiates power."
"8K35","This battle suit improves combat skills. It becomes stronger when the user becomes stronger.","This battle suit improves combat skills. It becomes stronger when the user becomes stronger."
"K8AL","This evil zombie head gives the user enormous powers but it decreases the user's sight.","This evil zombie head gives the user enormous powers but it decreases the user's sight."
"QI4V","This tiny Morgul helps you in combat.","This tiny Morgul helps you in combat."
"SSHV","This fluffy rabbit can cheer up even a tower.","This fluffy rabbit can cheer up even a tower."
"AJ96","This flaming arrow boosts the user's damage.","This flaming arrow boosts the user's damage."
"WLLE","The essence of The Lord of Murder.","The essence of The Lord of Murder."
"ENAN","This metal Horseshoe sparkles and glimmers with power.","This metal Horseshoe sparkles and glimmers with power."
"T6WU","Commonly used by War Bands, this drum increases attack speed of nearby Towers.","Commonly used by War Bands, this drum increases attack speed of nearby Towers."
"PRU2","This shiny armor is made of silver.","This shiny armor is made of silver."
"ZSZC","This flag inspires fighters, they will attack faster.","This flag inspires fighters, they will attack faster."
"QYFR","This decoration is so expensive that it is only used by kings.","This decoration is so expensive that it is only used by kings."
"2BYR","Once granted by the Moon to her servants, these jewels help whoever uses them for a good purpose.","Once granted by the Moon to her servants, these jewels help whoever uses them for a good purpose."
"5SSQ","This vial contains a magic potion that enhances other spells.","This vial contains a magic potion that enhances other spells."
"7A2V","Don't throw stones! A more experienced thrower can deal huge damage with it.","Don't throw stones! A more experienced thrower can deal huge damage with it."
"52CN","Huh, it glows. Maybe because of the batteries I put in.","Huh, it glows. Maybe because of the batteries I put in."
"3OC4","Could that be fairy dust?","Could that be fairy dust?"
"G4R1","The mark shows you where you really damage the enemy.","The mark shows you where you really damage the enemy."
"6B2M","Not a very effective weapon.","Not a very effective weapon."
"Y5V4","Its pages mostly contain faded words.","Its pages mostly contain faded words."
"CH5H","Some can teach you more than others.","Some can teach you more than others."
"307L","Has had its best time.","Has had its best time."
"GSDC","Though primitive, this flute contains some magic.","Though primitive, this flute contains some magic."
"XBAC","Worthless if you still have two legs.","Worthless if you still have two legs."
"6DZB","Invented by humans to kill humans.","Invented by humans to kill humans."
"9N7D","In this vial isn't even a spark of magic. That is really fearful for all magic creatures and caster.","In this vial isn't even a spark of magic. That is really fearful for all magic creatures and caster."
"9NF3","These claws are said to be of Ursus himself, still containing a part of his power.","These claws are said to be of Ursus himself, still containing a part of his power."
"VK4K","Enables the wielder to carry out mystic rituals, but is impractical in combat.","Enables the wielder to carry out mystic rituals, but is impractical in combat."
"4YO7","Some words are vaguely written on this piece of bark.","Some words are vaguely written on this piece of bark."
"WB8M","Not a very reliable weapon.","Not a very reliable weapon."
"5ZON","Increases the tower's attack damage.","Increases the tower's attack damage."
"1M42","Good for looting, but impractical for combat.","Good for looting, but impractical for combat."
"KS0A","Empowers the receiver with regenerative strength.","Empowers the receiver with regenerative strength."
"89OB","Extends the view of the tower, making it hit the target precisely.","Extends the view of the tower, making it hit the target precisely."
"8ZJX","Increases the tower's damage against Magic creeps.","Increases the tower's damage against Magic creeps."
"M17F","Increases the tower's damage against undead.","Increases the tower's damage against undead."
"6ICT","Increases the tower's damage against human creeps.","Increases the tower's damage against human creeps."
"DMIL","Increases the tower's damage against orcs.","Increases the tower's damage against orcs."
"7T2P","Increases the tower's damage against nature.","Increases the tower's damage against nature."
"TFJT","An axe that would have a hard time chopping down trees.","An axe that would have a hard time chopping down trees."
"GA4A","Has some rough sketches of the distant land on it.","Has some rough sketches of the distant land on it."
"QREU","Orcs fear this magical weed.","Orcs fear this magical weed."
"VF45","The inscription of the pebble seems to radiate some magic.","The inscription of the pebble seems to radiate some magic."
"LPK5","Bolsters the receiver with resistance against the dangers of nature.","Bolsters the receiver with resistance against the dangers of nature."
"ZO86","Makes valuable ores glitter in the dark.","Makes valuable ores glitter in the dark."
"SCQE","Takes more and more control over its carrier.","Takes more and more control over its carrier."
"CYRX","Sharp and spiked.","Sharp and spiked."
"EY9W","Back off, I've a canon in my pocket.","Back off, I've a canon in my pocket."
"POVC","A set of old gloves that have lost most of their power.","A set of old gloves that have lost most of their power."
"ZBDM","This mining pick helps with digging for items but it's not shiny anymore.","This mining pick helps with digging for items but it's not shiny anymore."
"R2Y8","See ya and I know where it hurts.","See ya and I know where it hurts."
"8RPW","Shocking, right?","Shocking, right?"
"NY95","Uh, this thing is able to make things magnetic.","Uh, this thing is able to make things magnetic."
"Z0RH","This small figurine shines bright on damaged creeps. They will grant more experience.","This small figurine shines bright on damaged creeps. They will grant more experience."
"NX5B","This item allows the wielder to see items others cannot.","This item allows the wielder to see items others cannot."
"86CU","A small but poisonous critter.","A small but poisonous critter."
"J5Z4","Can be thrown on flying enemies to deal additional damage.","Can be thrown on flying enemies to deal additional damage."
"XN8W","Still contains the magic of the medicine man who once carried this mask.","Still contains the magic of the medicine man who once carried this mask."
"JC2E","The more you know, the more you realize that you know nothing.","The more you know, the more you realize that you know nothing."
"EQGD","Magically enchanted, making the flower grow very fast.","Magically enchanted, making the flower grow very fast."
"SDLA","Boost the body with agility and the mind with wisdom.","Boost the body with agility and the mind with wisdom."
"Q9BX","Boost the body with strength and the mind with wisdom.","Boost the body with strength and the mind with wisdom."
"IV0L","The gem looks flawless, so pretty. It makes the carrier want more of these.","The gem looks flawless, so pretty. It makes the carrier want more of these."
"AC8C","A tiny dim orb.","A tiny dim orb."
"XSEA","Used by miners to create tunnels to the treasures hidden deep.","Used by miners to create tunnels to the treasures hidden deep."
"B1BQ","As black as the night, this statue works as a ward for evil powers inflicted on the carrier.","As black as the night, this statue works as a ward for evil powers inflicted on the carrier."
"JNFE","Only used by those who know how to get the best items.","Only used by those who know how to get the best items."
"QMQ8","The gems set on this crown look like they're made of blood.","The gems set on this crown look like they're made of blood."
"EFXV","Commonly used in theaters, but sometimes also used in combat.","Commonly used in theaters, but sometimes also used in combat."
"I61O","Grants the receiver the ability to excel in its strengths.","Grants the receiver the ability to excel in its strengths."
"2BPH","Mends every wound, hurts every villain.","Mends every wound, hurts every villain."
"QI44","A wand for beginner magicians.","A wand for beginner magicians."
"3KK7","This medallion allows its wearer to imbue his strikes with gold.","This medallion allows its wearer to imbue his strikes with gold."
"EGI5","It's a rotten hand","It's a rotten hand"
"UPWE","An ancient scroll which learns the reader how to destroy even the most fortified magic protections.","An ancient scroll which learns the reader how to destroy even the most fortified magic protections."
"4VV1","You can hear the entire ocean when holding it next to your ear.","You can hear the entire ocean when holding it next to your ear."
"V40A","Negates all offensive magic in an area.","Negates all offensive magic in an area."
"Q55V","The runes inscribed on this stone light up at full moon.","The runes inscribed on this stone light up at full moon."
"MKAZ","You can find a lot of useless stuff inside a Dumpster.","You can find a lot of useless stuff inside a Dumpster."
"WIJT","A basic staff that amplifies spells channeled through it.","A basic staff that amplifies spells channeled through it."
"HXLG","Spawns a hippogryph who fights for the carrier.","Spawns a hippogryph who fights for the carrier."
"0ICG","The stone radiates with energy.","The stone radiates with energy."
"HGFD","The dagger oozes out deadly green poison.","The dagger oozes out deadly green poison."
"82QP","Superior Undead Claws of Nature Annihilation. Yay.","Superior Undead Claws of Nature Annihilation. Yay."
"8UJP","Only the bravest and strongest warriors are able to kill such a beast without hurting the head.","Only the bravest and strongest warriors are able to kill such a beast without hurting the head."
"8TDE","A book about the basics of combat.","A book about the basics of combat."
"GHPN","Worn only by the wealthiest of landlords.","Worn only by the wealthiest of landlords."
"S39X","Tears at the very fabrics of time to imbue its bearer with immense speed.","Tears at the very fabrics of time to imbue its bearer with immense speed."
"EY9L","Enhances the carrier with the spirit of Bartuc, an ancient demonic warrior. Occasionally releases a burst of magic upon attacking.","Enhances the carrier with the spirit of Bartuc, an ancient demonic warrior. Occasionally releases a burst of magic upon attacking."
"5HSJ","It's said that whoever holds this gem shall be incredibly wealthy, but will always want more.","It's said that whoever holds this gem shall be incredibly wealthy, but will always want more."
"92O4","Space-teleport device. Use it carefully.","Space-teleport device. Use it carefully."
"S46V","A key to a magical house on a magical hilltop given to magicians after they complete their training. It is prone to rust.","A key to a magical house on a magical hilltop given to magicians after they complete their training. It is prone to rust."
"E4OU","The essence of Jah'rakal.","The essence of Jah'rakal."
"UP7E","A dagger better suited to bashing than stabbing.","A dagger better suited to bashing than stabbing."
"04J0","Helps the carrier make extra coin from kills.","Helps the carrier make extra coin from kills."
"3GNK","Helps the carrier concentrate.","Helps the carrier concentrate."
"WSNH","Play with me, or I will kill you.","Play with me, or I will kill you."
"VN8D","A gem that makes the carrier hunger for more wealth.","A gem that makes the carrier hunger for more wealth."
"VMS1","Naga empower the steel of their tridents, rendering them stainless.","Naga empower the steel of their tridents, rendering them stainless."
"7F04","This doll is empowered with voodoo spells, be careful!","This doll is empowered with voodoo spells, be careful!"
"96NN","Makes you feel incredibly powerful.","Makes you feel incredibly powerful."
"HEXL","Teaches its carrier how to prepare and eat the brains of its victims.","Teaches its carrier how to prepare and eat the brains of its victims."
"5LFI","Sometimes words are stronger than weapons.","Sometimes words are stronger than weapons."
"BTWT","Wearing this ring increases luck.","Wearing this ring increases luck."
"TMMB","Take your time to make a deadly Elite Sharp Shot!","Take your time to make a deadly Elite Sharp Shot!"
"5GQL","Increases the tower's damage against undead.","Increases the tower's damage against undead."
"T5DX","This sign is able to infuse attacks with regeneration.","This sign is able to infuse attacks with regeneration."
"AEFB","Once the property of witches and shamans, this figurine now unveils its secrets to you.","Once the property of witches and shamans, this figurine now unveils its secrets to you."
"D8G7","The basic equipment every miner needs to do his job.","The basic equipment every miner needs to do his job."
"YN6K","The disk emits a blueish light.","The disk emits a blueish light."
"6GFR","This cloak imparts the knowledge of a young thief to the wearer.","This cloak imparts the knowledge of a young thief to the wearer."
"PI3D","Get ready to attack ...","Get ready to attack ..."
"ZRYC","Never ever be frustrated again because there is just no follow up damage.","Never ever be frustrated again because there is just no follow up damage."
"7PUH","Gained upon victory over an enemy.","Gained upon victory over an enemy."
"T6VW","Serving as proof of merit, this item displays the courage of the owner.","Serving as proof of merit, this item displays the courage of the owner."
"YSCI","Contains all information you need to perfect your attack, in a very abstract way.","Contains all information you need to perfect your attack, in a very abstract way."
"9D5R","Then there was like this massive purple zap, and all my mana was gone! - a creep","Then there was like this massive purple zap, and all my mana was gone! - a creep"
"RI1P","Woot, you feel already drunk because you touched the keg?","Woot, you feel already drunk because you touched the keg?"
"NSCF","Energizes the spirit of the carrier.","Energizes the spirit of the carrier."
"33MV","Increases the tower's damage against orcs.","Increases the tower's damage against orcs."
"J1FS","These scales seem to be crystallized by an unknown process.","These scales seem to be crystallized by an unknown process."
"X2F5","A blade forged from the strongest metal, capable of cutting through anything.","A blade forged from the strongest metal, capable of cutting through anything."
"SS6J","Surrounds the head of the carrier with a ring of light.","Surrounds the head of the carrier with a ring of light."
"GZSX","Hits from this gun can be quite a punch.","Hits from this gun can be quite a punch."
"VQ5N","An undefinable object that leaches the livelihood of any nearby creature.","An undefinable object that leaches the livelihood of any nearby creature."
"NV40","A deadly waste product, very effective at destroying natural beings.","A deadly waste product, very effective at destroying natural beings."
"P4OK","Controlling the magic inside this piece of wood will grant the carrier immense power.","Controlling the magic inside this piece of wood will grant the carrier immense power."
"4QKI","Increases the tower's damage against nature.","Increases the tower's damage against nature."
"IZT0","Made from a mysterious material.","Made from a mysterious material."
"IBNX","Used in mystical shamanistic rituals.","Used in mystical shamanistic rituals."
"ZCLT","Carrying this around makes you at ease, gaining more experience from combat.","Carrying this around makes you at ease, gaining more experience from combat."
"TCFF","This wheel can only be spun when oiled with a victim's blood.","This wheel can only be spun when oiled with a victim's blood."
"5IXW","This jewelry looks beautiful, the eyes of the spider are made from tiny emeralds.","This jewelry looks beautiful, the eyes of the spider are made from tiny emeralds."
"QKJ1","Acorns need to be shared","Acorns need to be shared"
"Z0N4","This cloak has the special ability to absorb the souls of units that are killed by the user of the cloak.","This cloak has the special ability to absorb the souls of units that are killed by the user of the cloak."
"OPGJ","Increases the tower's damage against bosses.","Increases the tower's damage against bosses."
"KRXZ","Boosts damage with a drawback.","Boosts damage with a drawback."
"ESO7","Me Bash You !","Me Bash You !"
"XQ4K","While wielding this staff a vast power becomes part of you.","While wielding this staff a vast power becomes part of you."
"TJY1","Bolts of this crossbow deliver quite a punch to your enemies.","Bolts of this crossbow deliver quite a punch to your enemies."
"JWCO","A demon trapped within an orb so that it's power may be tapped.","A demon trapped within an orb so that it's power may be tapped."
"0BRJ","Rewards the player with gold and exp for fighting non-stop","Rewards the player with gold and exp for fighting non-stop"
"0BFA","Used to increase the damage against sol armor.","Used to increase the damage against sol armor."
"4USF","100%, not a bit more.","100%, not a bit more."
"G74F","Used to increase the damage against sif armor.","Used to increase the damage against sif armor."
"E8Q5","Used to increase the damage against myt armor.","Used to increase the damage against myt armor."
"CS21","These gauntlets produce a purple glow that increases the speed of the wearer.","These gauntlets produce a purple glow that increases the speed of the wearer."
"5QBJ","Increases buff duration and reduces debuff duration of nearby towers.","Increases buff duration and reduces debuff duration of nearby towers."
"1JMV","A pipe with a sound that frogs cannot resist.","A pipe with a sound that frogs cannot resist."
"HKNV","A device used to search for items by tapping into the land's magnetic fields.","A device used to search for items by tapping into the land's magnetic fields."
"EX7P","This spellbook contains a variety of spells for items.","This spellbook contains a variety of spells for items."
"QFBY","The professional version.","The professional version."
"KMGP","The thing above my fireplace? Ye, that was my first optimist.","The thing above my fireplace? Ye, that was my first optimist."
"RH4M","Increases the damage nearby towers deal to undead creeps.","Increases the damage nearby towers deal to undead creeps."
"TOO8","This staff contains so much magical power that the air around it sparkles.","This staff contains so much magical power that the air around it sparkles."
"1JWW","Increases the damage nearby towers deal to nature creeps.","Increases the damage nearby towers deal to nature creeps."
"ZGSC","A powerful item normally used to transfer knowledge from old wizards to young ones, this one has been corrupted so that it works on anything.","A powerful item normally used to transfer knowledge from old wizards to young ones, this one has been corrupted so that it works on anything."
"3I9A","Now, If only I could remember where I put the manual.","Now, If only I could remember where I put the manual."
"QOAK","Inside the orb you can see the swirling, tormented souls of countless victims.","Inside the orb you can see the swirling, tormented souls of countless victims."
"OPYI","This axe glows with its thirst for blood.","This axe glows with its thirst for blood."
"3G4I","With this rock, you can shine like Danny.","With this rock, you can shine like Danny."
"DBLK","They make great party favor! Although they do melt your face off.","They make great party favor! Although they do melt your face off."
"URD5","Never ask an abstinent dwarven smith for a custom-fitted helmet.","Never ask an abstinent dwarven smith for a custom-fitted helmet."
"7Q1X","Spells: collateral damage.","Spells: collateral damage."
"8AYK","Even if this item isn't really valuable it is still very rare.","Even if this item isn't really valuable it is still very rare."
"0PXV","Share your knowledge with others!","Share your knowledge with others!"
"DWE6","A gift from the owner of a castle.","A gift from the owner of a castle."
"48KB","This telescope allows you to spot things that would normally be missed, at any distance.","This telescope allows you to spot things that would normally be missed, at any distance."
"7X0I","The all seeing eye of Nermind.","The all seeing eye of Nermind."
"RNOD","This eye is a magical artifact created to hunt and kill invisible creatures.","This eye is a magical artifact created to hunt and kill invisible creatures."
"C60P","Grants the tower bonus experience.","Grants the tower bonus experience."
"R91C","More reliable leg, but still worthless if you have two legs.","More reliable leg, but still worthless if you have two legs."
"Q6U2","This item lets the wearer see through a master thief's eyes, helping them to find the best items.","This item lets the wearer see through a master thief's eyes, helping them to find the best items."
"X1A9","A deadly combusting arrow designed to hunt down larger beings.","A deadly combusting arrow designed to hunt down larger beings."
"IWC4","Used to increase the damage against hel armor.","Used to increase the damage against hel armor."
"LP87","A powerful knowledge is captured into this essence.","A powerful knowledge is captured into this essence."
"1AYL","It echoes grand wars of the past.","It echoes grand wars of the past."
"JPLK","This dagger goes through flesh as if it was paper.","This dagger goes through flesh as if it was paper."
"ND7N","These wings once belonged to an angel.","These wings once belonged to an angel."
"8IZN","Converts your experience into gold.","Converts your experience into gold."
"7O56","This ring manipulates the laws of chance in the wearers favor.","This ring manipulates the laws of chance in the wearers favor."
"2S9U","This item has a strange smell.","This item has a strange smell."
"NTNA","Beautifully crafted and encrusted with pretty jewels.","Beautifully crafted and encrusted with pretty jewels."
"8ZOM","A basic staff that strengthens the presence of supportive spells.","A basic staff that strengthens the presence of supportive spells."
"UESH","A tome that took a lifetime to write and contains many basic and advanced combat techniques.","A tome that took a lifetime to write and contains many basic and advanced combat techniques."
"WDT5","An old, enchanted gear that increases speed and trigger chances.","An old, enchanted gear that increases speed and trigger chances."
"5FQQ","This magical tome greatly magnifies the strength of one's spells, at the expense of the loss of accuracy.","This magical tome greatly magnifies the strength of one's spells, at the expense of the loss of accuracy."
"359S","This magical tome greatly increase one's capacity for mana, even if it quickly drains it.","This magical tome greatly increase one's capacity for mana, even if it quickly drains it."
"18W5","Every kid wants one.","Every kid wants one."
"WC81","Remember worms?","Remember worms?"
"YMBC","'I will teach you, what hunting is like!'","'I will teach you, what hunting is like!'"
"Z1L9","Slow down and concentrate on searching items.","Slow down and concentrate on searching items."
"4IB1","He can get rid of your illegal arms.","He can get rid of your illegal arms."
"IS2B","Power! Unlimited power!","Power! Unlimited power!"
"HKNI","A haunted hand with a mind of it's own, it attacks with reckless fervor.","A haunted hand with a mind of it's own, it attacks with reckless fervor."
"K5FV","This soul adapts itself to its user.","This soul adapts itself to its user."
"MPS9","Whenever this magical trident makes a devastating hit it creates some gold.","Whenever this magical trident makes a devastating hit it creates some gold."
"8HGR","This blade improves chance of critical strikes.","This blade improves chance of critical strikes."
"8LRS","Oooh! What are these ancient scribings?","Oooh! What are these ancient scribings?"
"3TVQ","This scythe absorbs the souls of units slain by its wielder.","This scythe absorbs the souls of units slain by its wielder."
"GM29","This relic is imbued with dark powers.","This relic is imbued with dark powers."
"JJP8","Exists beyond reality.","Exists beyond reality."
"YE1I","It's a hot potato.","It's a hot potato."
"G1VB","Increases the tower's crit chance and attack damage.","Increases the tower's crit chance and attack damage."
"VY6C","Used to increase the damage against lua armor.","Used to increase the damage against lua armor."
"PZCO","This spear is known for its ability to strike an enemy repeatedly in a weak spot.","This spear is known for its ability to strike an enemy repeatedly in a weak spot."
"30ID","Can be drawn in a second, but doesn't carry much of a punch.","Can be drawn in a second, but doesn't carry much of a punch."
"FH0S","An arrow made of crystal. It is not very strong but it always hits a weak spot.","An arrow made of crystal. It is not very strong but it always hits a weak spot."
"EIMX","A skull that absorbs magic forces.","A skull that absorbs magic forces."
"PLQP","This hammer is heavy, but when it hits it's devastating.","This hammer is heavy, but when it hits it's devastating."
"W29U","Makes the tower a real threat to humankind.","Makes the tower a real threat to humankind."
"69JS","This spear of an old northern god is a very tricky weapon. It has enormous powers but also has a drawback.","This spear of an old northern god is a very tricky weapon. It has enormous powers but also has a drawback."
"4Y3J","This item can be used to transfer experience to other towers.","This item can be used to transfer experience to other towers."
"D13M","The goddess gave this to the mighty priestess named Tirande with the order: Crush the enemies!","The goddess gave this to the mighty priestess named Tirande with the order: Crush the enemies!"
"QT2D","This quiver can't run out of arrows as long as the wearer lives.","This quiver can't run out of arrows as long as the wearer lives."
"U2A2","This item extracts souls from dead enemies and uses them to stun enemies.","This item extracts souls from dead enemies and uses them to stun enemies."
"FIXE","An advanced machine used to stun enemies.","An advanced machine used to stun enemies."
"J7KW","The legendary El Bastardo! ( w00t wc3 and Gothic 3 ? )","The legendary El Bastardo! ( w00t wc3 and Gothic 3 ? )"
"BIR7","These magic gloves add minor magic powers to each attack.","These magic gloves add minor magic powers to each attack."
"H9BE","A dark artifact from a graveyard seldom spoken of.","A dark artifact from a graveyard seldom spoken of."
"DS1D","This bench is used to improve other items.","This bench is used to improve other items."
"GFOQ","The carrier deals a small amount of its attack damage as spell damage.","The carrier deals a small amount of its attack damage as spell damage."
"7T8V","A deadly arrow specially crafted for assassination.","A deadly arrow specially crafted for assassination."
"6LWV","Increases damage and crit chance of the tower.","Increases damage and crit chance of the tower."
"LJJN","This item is able to transform magic powers into a speed bonus.","This item is able to transform magic powers into a speed bonus."
"ATS1","Being unbendable this weapon can give the wielder an advantage or a disadvantage.","Being unbendable this weapon can give the wielder an advantage or a disadvantage."
"97FF","Grants experience when a spell is cast on a friendly tower.","Grants experience when a spell is cast on a friendly tower."
"FIHU","This gem gives the tower random effects.","This gem gives the tower random effects."
"UEBK","These shackles manipulate time, giving the wielder a better chance at using his powers.","These shackles manipulate time, giving the wielder a better chance at using his powers."
"5W9U","This glaive is able to mimic every kind of weapon.","This glaive is able to mimic every kind of weapon."
"K7JG","Gives enormous strength but exhausts the user.","Gives enormous strength but exhausts the user."
"O6T3","Grants 3 knowledge tomes when used.","使用后获得 3 知识点数。"
"MSH4","Grants 1 food when used.","使用后获得 1 食物。"
"6MPA","Grants 2 food when used.","使用后获得 2 食物。"
"I37A","Increases your income rate by 10% when used.","使用后提升 10% 收益获得比率。"
"SCB1","Grants 5 food when used.","使用后获得 5 食物。"
"5I9R","Grants 8 knowledge tomes when used.","使用后获得 8 知识点数。"
"OB4I","Grants 15 knowledge tomes when used.","使用后获得 15 知识点数。"
"KJ25","Grants 8 food, 20 knowledge tomes, increases your income rate by 6% and restores 2 portal lives when used.","使用后获得 8 食物、20 知识点数，提升 6% 收益并恢复 2点 传送门生命值。"
"GDNN","Artifact of Skadi","斯嘉蒂的圣物"
"V6EL","Claws of Attack","攻击之爪"
"YJDZ","Vulshok's Claws","瓦许克之爪"
"P0UX","Dragon's Heart","巨龙之心"
"EHN2","Archer's Hood","射手兜帽"
"57IQ","Wizard Staff","巫师法杖"
"ZHDZ","Heavy Gun","重型火枪"
"N8BY","Enchanted Mining Pick","附魔矿镐"
"LJVT","Backpack","背包"
"VE3B","Cursed Claw","诅咒之爪"
"L9OD","Land Mine","地雷"
"ODOO","Magical Essence","魔法精粹"
"0WHK","Stasis Trap","凝滞陷阱"
"50MS","Fist of Doom","毁灭之拳"
"R3CD","Outworn Spell Book","破旧咒术书"
"OUD1","Ninja Glaive","忍者战镰"
"407N","Cruel Torch","残忍火炬"
"ILAQ","Enchanted Knives","附魔短刀"
"885F","Survival Kit","生存工具包"
"EZ2J","Combat Gloves","格斗手套"
"0TQD","Orc War Spear","兽人战矛"
"9V0L","Divine Shield","神圣护盾"
"7D9F","Love Potion","爱情药剂"
"KP2I","Moonsilver Circlet","月银额环"
"DW8H","Crystal Staff","水晶法杖"
"ELY8","Lightning Boots","闪电靴"
"B4VY","Claws of the Bear","巨熊之爪"
"S9RG","Ceremonial Skull","仪祭颅骨"
"8XXD","Scroll of Myths","神话卷轴"
"9ES8","Tome of Shadow Magic","暗影魔典"
"MY6Y","Zombie Hand","僵尸之手"
"WJIJ","Phoenix Egg","凤凰蛋"
"VDT8","Bomb Shells","爆裂弹壳"
"YYR3","Hand of Ruin","湮灭之手"
"Q1CV","Bonk's Face","邦克之颜"
"0HPR","Magic Branch","魔法树枝"
"MK5Z","Mini Sheep","迷你绵羊"
"9LEE","Pirate Map","海盗藏宝图"
"3HPC","Piece of Meat","肉块"
"XQVP","Gargoyle Wing","石像鬼之翼"
"W674","Ancient Figurine","远古雕像"
"OPRW","Sleeve of Rage","狂怒袖章"
"4NAS","Wine of Aluqah","阿鲁卡之酒"
"JEQ5","Mask of Sanity","理智面具"
"C6MS","Excalibur","王者之剑"
"GR7L","Minds Key","心灵之钥"
"IA26","Mana Shell","法力外壳"
