id,tooltip
17,"[color=LIGHT_BLUE]A small, high rate of fire tower[/color]
[color=YELLOW]Author:[/color] Cyony
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]42[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]750[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+3%[/color] attack speed/lvl
 
[color=GOLD]Spray and Pray[/color]
Due to its high rate of fire, this tower often misses its target.
"
18,"[color=LIGHT_BLUE]A medium sized, high rate of fire tower[/color]
[color=YELLOW]Author:[/color] Cyony
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]218[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]750[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+3%[/color] attack speed/lvl
 
[color=GOLD]Spray and Pray[/color]
Due to its high rate of fire, this tower often misses its target.
"
19,"[color=LIGHT_BLUE]A big, high rate of fire tower[/color]
[color=YELLOW]Author:[/color] Cyony
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]440[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]750[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+3%[/color] attack speed/lvl
 
[color=GOLD]Spray and Pray[/color]
Due to its high rate of fire, this tower often misses its target.
"
20,"[color=LIGHT_BLUE]A grand, high rate of fire tower[/color]
[color=YELLOW]Author:[/color] Cyony
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]876[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]750[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+3%[/color] attack speed/lvl
 
[color=GOLD]Spray and Pray[/color]
Due to its high rate of fire, this tower often misses its target.
"
21,"[color=LIGHT_BLUE]A huge, high rate of fire tower[/color]
[color=YELLOW]Author:[/color] Cyony
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1682[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]750[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+3%[/color] attack speed/lvl
 
[color=GOLD]Spray and Pray[/color]
Due to its high rate of fire, this tower often misses its target.
"
22,"[color=LIGHT_BLUE]A titanic, high rate of fire tower[/color]
[color=YELLOW]Author:[/color] Cyony
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]2740[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]750[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+3%[/color] attack speed/lvl
 
[color=GOLD]Spray and Pray[/color]
Due to its high rate of fire, this tower often misses its target.
"
23,"[color=LIGHT_BLUE]An elven mage who has devoted his entire life to the study of time.[/color]
[color=YELLOW]Author:[/color] Majildian
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1331[/color] DPS, [color=00bfffff]Arcane[/color], [color=GOLD]950[/color] range
[color=YELLOW]Mana:[/color] [color=CORNFLOWER_BLUE]550[/color] ([color=CORNFLOWER_BLUE]+5[/color]/sec)
 
[color=GOLD]Future Knowledge[/color]
Every [color=GOLD]10[/color] seconds, the Manipulator travels into the future to learn more and gain experience, then returns to where he left.
 
[color=GOLD]Time Twist - Aura[/color]
The Manipulator reaches into the timestream and brings bonuses to nearby towers.
 
[color=GOLD]Time Field[/color]
The Manipulator creates a field of time that inflicts future spell damage upon creatures around him.
 
Mana cost: [color=GOLD]500[/color], [color=GOLD]950[/color] range, [color=GOLD]30s[/color] cooldown

"
24,"[color=LIGHT_BLUE]A small colony of bugs.[/color]
[color=YELLOW]Author:[/color] Majildian
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]515[/color] DPS, [color=d2b48cff]Physical[/color], [color=GOLD]725[/color] range
 
[color=GOLD]Swarm of Bugs[/color]
On kill, produces bugs that increase the base damage of this tower.
"
25,"[color=LIGHT_BLUE]A colony of bugs.[/color]
[color=YELLOW]Author:[/color] Majildian
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]988[/color] DPS, [color=d2b48cff]Physical[/color], [color=GOLD]725[/color] range
 
[color=GOLD]Swarm of Bugs[/color]
On kill, produces bugs that increase the base damage of this tower.
"
26,"[color=LIGHT_BLUE]A large colony of bugs.[/color]
[color=YELLOW]Author:[/color] Majildian
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1675[/color] DPS, [color=d2b48cff]Physical[/color], [color=GOLD]725[/color] range
 
[color=GOLD]Swarm of Bugs[/color]
On kill, produces bugs that increase the base damage of this tower.
"
27,"[color=LIGHT_BLUE]A huge colony of bugs.[/color]
[color=YELLOW]Author:[/color] Majildian
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]2578[/color] DPS, [color=d2b48cff]Physical[/color], [color=GOLD]725[/color] range
 
[color=GOLD]Swarm of Bugs[/color]
On kill, produces bugs that increase the base damage of this tower.
"
28,"[color=LIGHT_BLUE]Tower with a chance to cast an ice nova.[/color]
[color=YELLOW]Author:[/color] Velex
[color=YELLOW]Element:[/color] [color=6495edff]Ice[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]140[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Ice Nova[/color]
Chance to blast hit creeps target with an [color=GOLD]Ice Nova[/color], dealing AoE spell damage and slowing all affected creeps.
"
29,"[color=LIGHT_BLUE]Tower with a chance to cast an ice nova.[/color]
[color=YELLOW]Author:[/color] Velex
[color=YELLOW]Element:[/color] [color=6495edff]Ice[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]460[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Ice Nova[/color]
Chance to blast hit creeps target with an [color=GOLD]Ice Nova[/color], dealing AoE spell damage and slowing all affected creeps.
"
30,"[color=LIGHT_BLUE]Tower with a chance to cast an ice nova.[/color]
[color=YELLOW]Author:[/color] Velex
[color=YELLOW]Element:[/color] [color=6495edff]Ice[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1134[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]700[/color] range
 
[color=GOLD]Ice Nova[/color]
Chance to blast hit creeps target with an [color=GOLD]Ice Nova[/color], dealing AoE spell damage and slowing all affected creeps.
"
31,"[color=LIGHT_BLUE]A powerful iron tower that will go to great lengths to defend its territory.[/color]
[color=YELLOW]Author:[/color] Glowackos
[color=YELLOW]Element:[/color] [color=d2b48cff]Iron[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]507[/color] DPS, [color=d2b48cff]Physical[/color], [color=GOLD]925[/color] range
 
[color=GOLD]Alert[/color]
Nearby towers get alerted of trespassers.
 
[color=GOLD]Trespasser Awareness[/color]
This tower strengthens its defenses when uninvited units enter its territory. There is also a chance that the trespassing creep will permanently have its armor reduced.
"
32,"[color=LIGHT_BLUE]A powerful iron tower that will go to great lengths to defend its territory.[/color]
[color=YELLOW]Author:[/color] Glowackos
[color=YELLOW]Element:[/color] [color=d2b48cff]Iron[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]853[/color] DPS, [color=d2b48cff]Physical[/color], [color=GOLD]925[/color] range
 
[color=GOLD]Alert[/color]
Nearby towers get alerted of trespassers.
 
[color=GOLD]Trespasser Awareness[/color]
This tower strengthens its defenses when uninvited units enter its territory. There is also a chance that the trespassing creep will permanently have its armor reduced.
"
33,"[color=LIGHT_BLUE]A powerful iron tower that will go to great lengths to defend its territory.[/color]
[color=YELLOW]Author:[/color] Glowackos
[color=YELLOW]Element:[/color] [color=d2b48cff]Iron[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1387[/color] DPS, [color=d2b48cff]Physical[/color], [color=GOLD]925[/color] range
 
[color=GOLD]Alert[/color]
Nearby towers get alerted of trespassers.
 
[color=GOLD]Trespasser Awareness[/color]
This tower strengthens its defenses when uninvited units enter its territory. There is also a chance that the trespassing creep will permanently have its armor reduced.
"
34,"[color=LIGHT_BLUE]When you think it looks very fragile, you're right. But its also a devastating machine.[/color]
[color=YELLOW]Author:[/color] cedi
[color=YELLOW]Element:[/color] [color=d2b48cff]Iron[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1647[/color] DPS, [color=9370dbff]Decay[/color], [color=GOLD]900[/color] range
[color=YELLOW]Mana:[/color] [color=CORNFLOWER_BLUE]100[/color] ([color=CORNFLOWER_BLUE]+2[/color]/sec)
 
[color=GOLD]Splash Attack[/color]
[color=GOLD]75[/color] AoE: [color=GOLD]100%[/color] damage
[color=GOLD]100[/color] AoE: [color=GOLD]66%[/color] damage
[color=GOLD]125[/color] AoE: [color=GOLD]33%[/color] damage
 
[color=GOLD]Grapple[/color]
Chance to grab the attacked creep, holding it in place for [color=GOLD]2.5[/color] seconds.
 
[color=GOLD]Shock[/color]
Slams all creeps around the target, dealing spell damage and stunning them.

 
Mana cost: [color=GOLD]50[/color], [color=GOLD]900[/color] range, [color=GOLD]15s[/color] cooldown

"
35,"[color=LIGHT_BLUE]Basic tower with low splash damage[/color]
[color=YELLOW]Author:[/color] geX
[color=YELLOW]Element:[/color] [color=ff4500ff]Fire[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]2035[/color] DPS, [color=6495edff]Elemental[/color], [color=GOLD]900[/color] range
 
[color=GOLD]Splash Attack[/color]
[color=GOLD]200[/color] AoE: [color=GOLD]25%[/color] damage
"
36,"[color=LIGHT_BLUE]An old relict from the time of the first war against the burning legion. It brings pure chaos to everthing around it.[/color]
[color=YELLOW]Author:[/color] cedi
[color=YELLOW]Element:[/color] [color=9370dbff]Darkness[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1986[/color] DPS, [color=9370dbff]Decay[/color], [color=GOLD]750[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+25%[/color] damage to humanoids ([color=GOLD]+1%[/color]/lvl)
 
[color=GOLD]Chaos[/color]
All creeps that come in range have a chance to lose their armor.
"
37,"[color=LIGHT_BLUE]Unique Tower that is able to backtrack creeps in time and changes timelines to benefit other towers by increasing their triggerchances.[/color]
[color=YELLOW]Author:[/color] SirCoqalot./TrinkaLot.
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]2273[/color] DPS, [color=00bfffff]Arcane[/color], [color=GOLD]850[/color] range
 
[color=GOLD]Time Travel[/color]
Transports hit creeps back in time after a delay. Has a lower chance for bosses.
 
[color=GOLD]Timesurge - Aura[/color]
Increases triggerchance of nearby towers.
"
38,"[color=LIGHT_BLUE]An ancient building, storing the power of storms.[/color]
[color=YELLOW]Author:[/color] Natac
[color=YELLOW]Element:[/color] [color=ffffe0ff]Storm[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1185[/color] DPS, [color=1e90ffff]Energy[/color], [color=GOLD]900[/color] range
[color=YELLOW]Mana:[/color] [color=CORNFLOWER_BLUE]10000[/color] ([color=CORNFLOWER_BLUE]+0[/color]/sec)
 
[color=GOLD]Specials[/color]
[color=GOLD]+500[/color] mana/lvl
 
[color=GOLD]Cloud of Absorption - Aura[/color]
Creates a lightning ball if a creep in range is killed with more damage than needed. The lighting ball absorbs the redundant damage and transfers it to this temple as mana.
 
[color=GOLD]Cloudy Thunderstorm[/color]
Summons [color=GOLD]Cloudy Thunderstorm[/color] which strikes random creeps in range, dealing spell damage.

 
Mana cost: [color=GOLD]1000[/color], [color=GOLD]1000[/color] range, [color=GOLD]0.01s[/color] cooldown

 
[color=GOLD]Adjust Thunderstorm Threshold[/color]
Adjust the percentual mana required for [color=GOLD]Cloudy Thunderstorm[/color].

 
[color=GOLD]0.01s[/color] cooldown

"
39,"[color=LIGHT_BLUE]Rare tower with a chance to turn lesser creeps into gold instantly. Gains additional gold for each kill and will do more damage the more gold you have.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=d2b48cff]Iron[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]725[/color] DPS, [color=d2b48cff]Physical[/color], [color=GOLD]875[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+30%[/color] bounty received ([color=GOLD]+1.2%[/color]/lvl)
 
[color=GOLD]Transmute[/color]
Chance to turn hit creeps into gold. Doesn't work on bosses and champions.
 
[color=GOLD]Gold Gree[/color]
Deals additional spell damage to hit creeps. Damage scales with current player gold.
"
40,"[color=LIGHT_BLUE]Rare tower with a chance to turn lesser creeps into gold instantly. Gains additional gold for each kill and will do more damage the more gold you have.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=d2b48cff]Iron[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1923[/color] DPS, [color=d2b48cff]Physical[/color], [color=GOLD]875[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+40%[/color] bounty received ([color=GOLD]+1.6%[/color]/lvl)
 
[color=GOLD]Transmute[/color]
Chance to turn hit creeps into gold. Doesn't work on bosses and champions.
 
[color=GOLD]Gold Gree[/color]
Deals additional spell damage to hit creeps. Damage scales with current player gold.
"
41,"[color=LIGHT_BLUE]A tiny desert plant with a high AoE. Slightly more efficient against mass creeps and humans.[/color]
[color=YELLOW]Author:[/color] Lapsus
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]23[/color] DPS, [color=7fffd4ff]Essence[/color], [color=GOLD]820[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+15%[/color] damage to masses ([color=GOLD]+1%[/color]/lvl)
[color=GOLD]+15%[/color] damage to humanoids ([color=GOLD]+1%[/color]/lvl)
 
[color=GOLD]Splash Attack[/color]
[color=GOLD]320[/color] AoE: [color=GOLD]50%[/color] damage
"
42,"[color=LIGHT_BLUE]A pricklier desert plant with a high AoE. Moderately more efficient against mass creeps and humans.[/color]
[color=YELLOW]Author:[/color] Lapsus
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]287[/color] DPS, [color=7fffd4ff]Essence[/color], [color=GOLD]820[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+19%[/color] damage to masses ([color=GOLD]+1.2%[/color]/lvl)
[color=GOLD]+19%[/color] damage to humanoids ([color=GOLD]+1.2%[/color]/lvl)
 
[color=GOLD]Splash Attack[/color]
[color=GOLD]320[/color] AoE: [color=GOLD]50%[/color] damage
"
43,"[color=LIGHT_BLUE]A troublesome desert plant with a high AoE. Moderately more efficient against mass creeps and humans.[/color]
[color=YELLOW]Author:[/color] Lapsus
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]568[/color] DPS, [color=7fffd4ff]Essence[/color], [color=GOLD]820[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+21%[/color] damage to masses ([color=GOLD]+1.3%[/color]/lvl)
[color=GOLD]+21%[/color] damage to humanoids ([color=GOLD]+1.3%[/color]/lvl)
 
[color=GOLD]Splash Attack[/color]
[color=GOLD]320[/color] AoE: [color=GOLD]50%[/color] damage
"
44,"[color=LIGHT_BLUE]A troublesome desert plant with a high AoE. Efficient against mass creeps and humans.[/color]
[color=YELLOW]Author:[/color] Lapsus
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]998[/color] DPS, [color=7fffd4ff]Essence[/color], [color=GOLD]820[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+23%[/color] damage to masses ([color=GOLD]+1.4%[/color]/lvl)
[color=GOLD]+23%[/color] damage to humanoids ([color=GOLD]+1.4%[/color]/lvl)
 
[color=GOLD]Splash Attack[/color]
[color=GOLD]320[/color] AoE: [color=GOLD]50%[/color] damage
"
45,"[color=LIGHT_BLUE]A lethal desert plant with a high AoE. Very efficient against mass creeps and humans.[/color]
[color=YELLOW]Author:[/color] Lapsus
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1625[/color] DPS, [color=7fffd4ff]Essence[/color], [color=GOLD]820[/color] range
 
[color=GOLD]Specials[/color]
[color=GOLD]+25%[/color] damage to masses ([color=GOLD]+1.6%[/color]/lvl)
[color=GOLD]+25%[/color] damage to humanoids ([color=GOLD]+1.6%[/color]/lvl)
 
[color=GOLD]Splash Attack[/color]
[color=GOLD]320[/color] AoE: [color=GOLD]50%[/color] damage
"
46,"[color=LIGHT_BLUE]A powerful vortex with the ability to move things through space itself.[/color]
[color=YELLOW]Author:[/color] i_m0ck_death
[color=YELLOW]Element:[/color] [color=66cdaaff]Astral[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1434[/color] DPS, [color=1e90ffff]Energy[/color], [color=GOLD]750[/color] range
[color=YELLOW]Mana:[/color] [color=CORNFLOWER_BLUE]180[/color] ([color=CORNFLOWER_BLUE]+2[/color]/sec)
 
[color=GOLD]Spacial Rift[/color]
Chance to teleport hit creeps backwards.
 
[color=GOLD]Presence of the Rift - Aura[/color]
Deals periodic spell damage to creeps in range, scaled by their movement speed.
"
47,"[color=LIGHT_BLUE]Advanced nature tower that will deal damage in an AoE around itself and will slow damaged targets. Also gives nearby towers a chance to deal damage and slow targets in an AoE around iteself.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]1150[/color] DPS, [color=9370dbff]Decay[/color], [color=GOLD]750[/color] range
 
[color=GOLD]Specials[/color]
[color=RED]Attacks GROUND only[/color]
 
[color=GOLD]Ground Smash[/color]
Whenever this tower hits a creep, it deals AoE [color=9370dbff]Decay[/color] damage and slows them. This damage is improved by the spell damage dealt stat.
 
[color=GOLD]Earthquake Aura - Aura[/color]
Towers in range have a chance to trigger [color=GOLD]Ground Smash[/color].
"
48,"[color=LIGHT_BLUE]Advanced Nature tower that is able to release a spray of thorns from it's back.[/color]
[color=YELLOW]Author:[/color] SirCoqalot.
[color=YELLOW]Element:[/color] [color=32cd32ff]Nature[/color]
[color=YELLOW]Attack:[/color] [color=GOLD]431[/color] DPS, [color=d2b48cff]Physical[/color], [color=GOLD]800[/color] range
[color=YELLOW]Mana:[/color] [color=CORNFLOWER_BLUE]100[/color] ([color=CORNFLOWER_BLUE]+1[/color]/sec)
 
[color=GOLD]Occasional Thornspray[/color]
On attack this tower has a chance to trigger a [color=GOLD]Thornspray[/color].
 
[color=GOLD]Thornspray[/color]
This tower releases thorns from its back, dealing [color=d2b48cff]Physical[/color] damage to every unit in range.

 
Mana cost: [color=GOLD]5[/color], [color=GOLD]800[/color] range, [color=GOLD]0.2s[/color] cooldown

"
