"id","name english","hp modifier","required wave level","frequency","creep sizes","applies only to champions or bosses","group list","uses mana","color","name","short name","description","enabled","icon path"
13,"Xtreme Evasion",-0.65,40,110,"all","FALSE","evasion,immune-evasion","FALSE","#e3f988","3GUO","OGW2","CTD6","TRUE","res://resources/icons/daggers/dagger_09.tres"
14,"Ghost",-0.77,64,140,"all","FALSE","evasion,ghost-ethereal,armor-spellres","FALSE","#ffffffaa","CN7P","I4YW","D5YC","TRUE","res://resources/icons/faces/sleeping_leaf_spirit.tres"
15,"Spell Resistance",-0.12,8,130,"all","FALSE","armor-spellres,spellres","FALSE","#d9a6f9","FBGW","0XTO","T8N5","TRUE","res://resources/icons/magic/magic_stone.tres"
16,"Greater Spell Resistance",-0.36,24,130,"all","FALSE","armor-spellres,spellres","FALSE","#d9a6f9","Z6LA","3HLY","DHWD","TRUE","res://resources/icons/magic/magic_stone.tres"
17,"Magic Immunity",-0.36,24,180,"all","FALSE","armor-spellres,immune-evasion,spellres","TRUE","#d9a6f9","QYGG","79IP","EV5O","TRUE","res://resources/icons/rings/ring_04.tres"
18,"Ethereal",-0.52,24,200,"all","FALSE","spellres,regen-ethereal,mech-ethereal,ghost-ethereal,gravid-ethereal","FALSE","#ffffff","6O15","M720","PTPY","TRUE","res://resources/icons/undead/skull_phazing.tres"
19,"Slow Aura",-0.4,24,150,"normal,mass,boss","TRUE",,"FALSE","#bb8080","9DZV","2ORV","2JS2","TRUE","res://resources/icons/misc/flag_03.tres"
20,"Mana Drain Aura",-0.2,32,150,"normal,mass,boss","TRUE","demana","FALSE","#7c97e2","BZX0","JPO2","SEMC","TRUE","res://resources/icons/misc/flag_01.tres"
21,"Spellbinder",-0.2,48,120,"normal,mass,boss","TRUE","demana","TRUE","#ff77ff","LZU3","DL82","S3GU","TRUE","res://resources/icons/undead/skull_02.tres"
22,"Stun Revenge",-0.57,32,100,"all","FALSE",,"FALSE","#ffa5bb","E2EQ","EGRV","0SRZ","TRUE","res://resources/icons/undead/skull_05.tres"
23,"Regeneration",-0.17,16,140,"all","FALSE","regen,regen-ethereal,regen-evo,regen-protector","FALSE","#ffbbff","86IT","SRQE","F09T","TRUE","res://resources/icons/misc/poison_01.tres"
24,"Xtreme Regeneration",-0.48,32,110,"all","FALSE","regen,regen-ethereal,regen-evo,regen-protector","FALSE","#ffbbff","D16L","K1WK","1C6S","TRUE","res://resources/icons/misc/poison_01.tres"
25,"Second Chance",-0.47,32,160,"all","FALSE","regen,regen-evo,seccha","TRUE","#ffd7bb","ULM0","18FX","BE3D","TRUE","res://resources/icons/trinkets/trinket_04.tres"
26,"Semi-Mechanical",-0.28,40,150,"all","FALSE","mech-ethereal","FALSE","#7c97e2","7LDM","SA83","RHJV","TRUE","res://resources/icons/mechanical/factory_gears.tres"
27,"Mechanical",-0.62,56,150,"all","FALSE","mech-ethereal","FALSE","#7c97e2","7DFX","JTSZ","XC3D","TRUE","res://resources/icons/mechanical/factory_gears.tres"
28,"Meaty",0.15,80,100,"normal,mass,boss","TRUE",,"FALSE","#ffbbbb","LIR7","RY5L","53FN","TRUE","res://resources/icons/food/pork.tres"
29,"Evolving",-0.3,56,150,"mass,normal","FALSE","regen-evo","FALSE","#bbffbb","HVTO","4NF4","57DU","TRUE","res://resources/icons/animals/fish_02.tres"
30,"Unlucky",-0.15,56,150,"all","FALSE",,"FALSE","#e3f988","WDET","3LEV","RDWL","TRUE","res://resources/icons/statues/statue_01.tres"
31,"Flock",-0.5,40,250,"air","FALSE","exp,bounty,relic","FALSE","#7c97e2","MQIJ","LACP","JNSA","TRUE","res://resources/icons/animals/bat_01.tres"
32,"Gravid",-0.53,40,200,"normal,mass,boss","TRUE","exp,bounty,seccha,relic,gravid-ethereal","TRUE","#ff77ff","RD90","5K38","7AZB","FALSE","res://resources/icons/misc/spiky_totem_01.tres"
33,"Protector",-0.2,64,240,"mass,normal","TRUE","regen-protector","FALSE","#ffe4b5","UZXN","KYIV","KEKA","TRUE","res://resources/icons/statues/statue_dwarf_02.tres"
34,"Manashield",-0.55,28,150,"mass,normal","FALSE","mshield,mshield-speed,corpse","TRUE","#bbbbff","OM2K","Z92I","2LNM","TRUE","res://resources/icons/tower_icons/storm_battery.tres"
35,"Manashield+",-0.75,80,150,"mass,normal","FALSE","mshield,mshield-speed,corpse","TRUE","#bbbbff","AMF5","50R6","35FE","TRUE","res://resources/icons/tower_icons/storm_battery.tres"
36,"Necromancer",-0.25,50,150,"mass,normal","TRUE","corpse","TRUE","#d9a6f9","J21D","ZLAU","M7FF","TRUE","res://resources/icons/undead/skull_wand_04.tres"
37,"Purge Revenge",-0.5,32,100,"all","FALSE",,"FALSE","#ff77ff","FKXP","PZPG","78SR","TRUE","res://resources/icons/misc/teapot_02.tres"
38,"Fireball",-0.03,240,0,"boss","TRUE",,"FALSE","#ffbbbb","F24X","QYR7","CK9M","TRUE","res://resources/icons/tower_icons/meteor_totem.tres"
39,"Dart",0.2,240,170,"boss","TRUE","speed","FALSE","#ffbbbb","21NC","SE4F","TIGD","TRUE","res://resources/icons/tower_icons/charged_obelisk.tres"
40,"Broody",-0.3,240,40,"boss","TRUE",,"TRUE","#ffbbbb","P1WA","ZF1Y","IYUS","FALSE","res://resources/icons/tower_icons/spider_queen.tres"
