"name english","tier","id","family id","author","rarity","element","attack enabled","attack type","attack range","attack cd","dmg min","dmg max","mana","mana regen","cost","missile speed","missile arc","missile uses lightning visual","attack_target_type","multishot","splash attack","bounce attack","specials","ability list","aura list","autocast list","script path","icon path","sprite path","name","description"
"Minor Magic Ruin",1,11,11,"drol","common","astral","TRUE","elemental",700,1,47,51,0,0,45,1000,0.15,"FALSE","CREEPS",,,,,"5",,,"res://src/towers/tower_behaviors/minor_magic_ruin.gd","res://resources/icons/tower_icons/minor_magic_ruin.tres","res://src/towers/tower_sprites/minor_magic_ruin_1.tscn","VNJ0","KLME"
"Small Magic Ruin",2,12,11,"drol","common","astral","TRUE","elemental",700,1,151,165,0,0,150,1000,0.15,"FALSE","CREEPS",,,,,"6",,,"res://src/towers/tower_behaviors/minor_magic_ruin.gd","res://resources/icons/tower_icons/minor_magic_ruin.tres","res://src/towers/tower_sprites/minor_magic_ruin_2.tscn","RGAP","9R56"
"Magic Ruin",3,13,11,"drol","common","astral","TRUE","elemental",700,1,317,349,0,0,325,1000,0.15,"FALSE","CREEPS",,,,,"7",,,"res://src/towers/tower_behaviors/minor_magic_ruin.gd","res://resources/icons/tower_icons/minor_magic_ruin.tres","res://src/towers/tower_sprites/minor_magic_ruin_3.tscn","1ZNH","F5CT"
"Large Magic Ruin",4,14,11,"drol","common","astral","TRUE","elemental",700,1,663,732,0,0,700,1000,0.15,"FALSE","CREEPS",,,,,"8",,,"res://src/towers/tower_behaviors/minor_magic_ruin.gd","res://resources/icons/tower_icons/minor_magic_ruin.tres","res://src/towers/tower_sprites/minor_magic_ruin_4.tscn","RO47","FNVC"
"Major Magic Ruin",5,15,11,"drol","common","astral","TRUE","elemental",700,1,1379,1528,0,0,1500,1000,0.15,"FALSE","CREEPS",,,,,"9",,,"res://src/towers/tower_behaviors/minor_magic_ruin.gd","res://resources/icons/tower_icons/minor_magic_ruin.tres","res://src/towers/tower_sprites/minor_magic_ruin_5.tscn","Q8V4","V2PJ"
"Collosal Magic Ruin",6,16,11,"drol","common","astral","TRUE","elemental",700,1,2228,2477,0,0,2500,1000,0.15,"FALSE","CREEPS",,,,,"10",,,"res://src/towers/tower_behaviors/minor_magic_ruin.gd","res://resources/icons/tower_icons/minor_magic_ruin.tres","res://src/towers/tower_sprites/minor_magic_ruin_6.tscn","3P4S","S3YO"
"Small Fire Sprayer",1,17,17,"Cyony","common","fire","TRUE","elemental",750,0.5,21,21,0,0,35,1500,0,"FALSE","CREEPS",,,,"MOD_ATTACKSPEED,0,0.03","11",,,"res://src/towers/tower_behaviors/small_fire_sprayer.gd","res://resources/icons/tower_icons/small_fire_sprayer.tres","res://src/towers/tower_sprites/small_fire_sprayer_1.tscn","4KYT","1G42"
"Medium Fire Sprayer",2,18,17,"Cyony","common","fire","TRUE","elemental",750,0.5,109,109,0,0,180,1500,0,"FALSE","CREEPS",,,,"MOD_ATTACKSPEED,0,0.03","12",,,"res://src/towers/tower_behaviors/small_fire_sprayer.gd","res://resources/icons/tower_icons/small_fire_sprayer.tres","res://src/towers/tower_sprites/small_fire_sprayer_2.tscn","PR3P","PCVB"
"Big Fire Sprayer",3,19,17,"Cyony","common","fire","TRUE","elemental",750,0.5,220,220,0,0,370,1500,0,"FALSE","CREEPS",,,,"MOD_ATTACKSPEED,0,0.03","13",,,"res://src/towers/tower_behaviors/small_fire_sprayer.gd","res://resources/icons/tower_icons/small_fire_sprayer.tres","res://src/towers/tower_sprites/small_fire_sprayer_3.tscn","VEM0","6ES6"
"Grand Fire Sprayer",4,20,17,"Cyony","common","fire","TRUE","elemental",750,0.5,438,438,0,0,750,1500,0,"FALSE","CREEPS",,,,"MOD_ATTACKSPEED,0,0.03","14",,,"res://src/towers/tower_behaviors/small_fire_sprayer.gd","res://resources/icons/tower_icons/small_fire_sprayer.tres","res://src/towers/tower_sprites/small_fire_sprayer_4.tscn","PLTB","TRJR"
"Huge Fire Sprayer",5,21,17,"Cyony","common","fire","TRUE","elemental",750,0.5,841,841,0,0,1450,1500,0,"FALSE","CREEPS",,,,"MOD_ATTACKSPEED,0,0.03","15",,,"res://src/towers/tower_behaviors/small_fire_sprayer.gd","res://resources/icons/tower_icons/small_fire_sprayer.tres","res://src/towers/tower_sprites/small_fire_sprayer_5.tscn","KBJC","Y2DY"
"Titanic Fire Sprayer",6,22,17,"Cyony","common","fire","TRUE","elemental",750,0.5,1370,1370,0,0,2400,1500,0,"FALSE","CREEPS",,,,"MOD_ATTACKSPEED,0,0.03","16",,,"res://src/towers/tower_behaviors/small_fire_sprayer.gd","res://resources/icons/tower_icons/small_fire_sprayer.tres","res://src/towers/tower_sprites/small_fire_sprayer_6.tscn","IYA3","UBQ4"
"Time Manipulator",1,23,23,"Majildian","unique","astral","TRUE","arcane",950,3,3994,3994,550,5,4000,1500,0,"FALSE","CREEPS",,,,,"17","5","9","res://src/towers/tower_behaviors/time_manipulator.gd","res://resources/icons/tower_icons/time_manipulator.tres","res://src/towers/tower_sprites/time_manipulator_1.tscn","4LHH","58RV"
"Small Bug Nest",1,24,24,"Majildian","uncommon","darkness","TRUE","physical",725,1.5,724,823,0,0,600,1500,0,"FALSE","CREEPS",,,,,"18",,,"res://src/towers/tower_behaviors/small_bug_nest.gd","res://resources/icons/tower_icons/small_bug_nest.tres","res://src/towers/tower_sprites/small_bug_nest_1.tscn","XINL","YJ2Q"
"Bug Nest",2,25,24,"Majildian","uncommon","darkness","TRUE","physical",725,1.5,1433,1532,0,0,1150,1500,0,"FALSE","CREEPS",,,,,"19",,,"res://src/towers/tower_behaviors/small_bug_nest.gd","res://resources/icons/tower_icons/small_bug_nest.tres","res://src/towers/tower_sprites/small_bug_nest_2.tscn","4VUL","BON8"
"Large Bug Nest",3,26,24,"Majildian","uncommon","darkness","TRUE","physical",725,1.5,2464,2563,0,0,1950,1500,0,"FALSE","CREEPS",,,,,"20",,,"res://src/towers/tower_behaviors/small_bug_nest.gd","res://resources/icons/tower_icons/small_bug_nest.tres","res://src/towers/tower_sprites/small_bug_nest_3.tscn","8YOF","BI2Z"
"Bug City",4,27,24,"Majildian","uncommon","darkness","TRUE","physical",725,1.5,3818,3917,0,0,3000,1500,0,"FALSE","CREEPS",,,,,"21",,,"res://src/towers/tower_behaviors/small_bug_nest.gd","res://resources/icons/tower_icons/small_bug_nest.tres","res://src/towers/tower_sprites/small_bug_nest_4.tscn","OQXJ","5KNN"
"Small Ice Mine",1,28,28,"Velex","uncommon","ice","TRUE","elemental",700,2,280,281,0,0,150,1500,0.2,"FALSE","CREEPS",,,,,"22",,,"res://src/towers/tower_behaviors/small_ice_mine.gd","res://resources/icons/tower_icons/small_ice_mine.tres","res://src/towers/tower_sprites/small_ice_mine_1.tscn","S0L9","ELV5"
"Ice Mine",2,29,28,"Velex","uncommon","ice","TRUE","elemental",700,2,921,922,0,0,500,1500,0.2,"FALSE","CREEPS",,,,,"23",,,"res://src/towers/tower_behaviors/small_ice_mine.gd","res://resources/icons/tower_icons/small_ice_mine.tres","res://src/towers/tower_sprites/small_ice_mine_2.tscn","9FPU","DM0C"
"Deep Ice Mine",3,30,28,"Velex","uncommon","ice","TRUE","elemental",700,2,2269,2270,0,0,1250,1500,0.2,"FALSE","CREEPS",,,,,"24",,,"res://src/towers/tower_behaviors/small_ice_mine.gd","res://resources/icons/tower_icons/small_ice_mine.tres","res://src/towers/tower_sprites/small_ice_mine_3.tscn","YZER","F6AU"
"Bottomless Ice Mine",4,58,28,"Velex","uncommon","ice","TRUE","elemental",700,2,4472,4473,0,0,2500,1500,0.2,"FALSE","CREEPS",,,,,"25",,,"res://src/towers/tower_behaviors/small_ice_mine.gd","res://resources/icons/tower_icons/small_ice_mine.tres","res://src/towers/tower_sprites/small_ice_mine_4.tscn","OEVC","TUIU"
"Rundown Iron Sentry",1,31,31,"Glowackos","rare","iron","TRUE","physical",925,1.4,710,710,0,0,950,1500,0,"FALSE","CREEPS",,,,,"26,27",,,"res://src/towers/tower_behaviors/rundown_iron_sentry.gd","res://resources/icons/tower_icons/rundown_iron_sentry.tres","res://src/towers/tower_sprites/rundown_iron_sentry_1.tscn","XU3D","P6KS"
"Solid Iron Sentry",2,32,31,"Glowackos","rare","iron","TRUE","physical",925,1.4,1195,1195,0,0,1600,1500,0,"FALSE","CREEPS",,,,,"28,29",,,"res://src/towers/tower_behaviors/rundown_iron_sentry.gd","res://resources/icons/tower_icons/rundown_iron_sentry.tres","res://src/towers/tower_sprites/rundown_iron_sentry_2.tscn","BILF","PL5E"
"Modern Iron Sentry",3,33,31,"Glowackos","rare","iron","TRUE","physical",925,1.4,1942,1942,0,0,2600,1500,0,"FALSE","CREEPS",,,,,"30,31",,,"res://src/towers/tower_behaviors/rundown_iron_sentry.gd","res://resources/icons/tower_icons/rundown_iron_sentry.tres","res://src/towers/tower_sprites/rundown_iron_sentry_3.tscn","RVTA","3D0G"
"Grab-o-Bot",1,34,34,"cedi","unique","iron","TRUE","decay",900,0.4,659,659,100,2.5,3500,900,0,"FALSE","CREEPS",,"75,1,100,0.66,125,0.33",,,"32",,"10","res://src/towers/tower_behaviors/grab-o-bot.gd","res://resources/icons/tower_icons/grab-o-bot.tres","res://src/towers/tower_sprites/grab-o-bot_1.tscn","Z2M5","NWGO"
"Monolith of Chaos",1,36,36,"cedi","unique","darkness","TRUE","decay",750,0.8,1589,1589,0,0,3000,2000,0,"FALSE","CREEPS",,,,"MOD_DMG_TO_HUMANOID,0.25,0.01","33",,,"res://src/towers/tower_behaviors/monolith_of_chaos.gd","res://resources/icons/tower_icons/monolith_of_chaos.tres","res://src/towers/tower_sprites/monolith_of_chaos_1.tscn","W2CX","63PT"
"Timevault",1,37,37,"SirCoqalot./TrinkaLot.","unique","astral","TRUE","arcane",850,6,13589,13688,0,0,2300,900,0,"FALSE","CREEPS",,,,,"34","6",,"res://src/towers/tower_behaviors/timevault.gd","res://resources/icons/tower_icons/timevault.tres","res://src/towers/tower_sprites/timevault_1.tscn","7XAS","G0C6"
"Cloudy Temple of Absorption",1,38,38,"Natac","unique","storm","TRUE","energy",900,1.4,1659,1659,10000,0.01,2000,1500,0,"FALSE","CREEPS",,,,"MOD_MANA,0,500",,"7","11,12","res://src/towers/tower_behaviors/cloudy_temple_of_absorption.gd","res://resources/icons/tower_icons/cloudy_temple_of_absorption.tres","res://src/towers/tower_sprites/cloudy_temple_of_absorption_1.tscn","99YK","3VB9"
"Silver Knight",1,39,39,"SirCoqalot.","rare","iron","TRUE","physical",875,1.35,939,1019,0,0,1200,1300,0,"FALSE","CREEPS",,,,"MOD_BOUNTY_RECEIVED,0.3,0.012","35,36",,,"res://src/towers/tower_behaviors/silver_knight.gd","res://resources/icons/tower_icons/silver_knight.tres","res://src/towers/tower_sprites/silver_knight_1.tscn","YIFN","33CV"
"Golden Queen",2,40,39,"SirCoqalot.","rare","iron","TRUE","physical",875,1.35,2557,2637,0,0,3500,1300,0,"FALSE","CREEPS",,,,"MOD_BOUNTY_RECEIVED,0.4,0.016","37,38",,,"res://src/towers/tower_behaviors/silver_knight.gd","res://resources/icons/tower_icons/silver_knight.tres","res://src/towers/tower_sprites/silver_knight_2.tscn","RL8N","RBLI"
"Small Cactus",1,41,41,"Lapsus","common","nature","TRUE","essence",820,2.5,58,58,0,0,30,1400,0.2,"FALSE","CREEPS",,"320,0.5",,"MOD_DMG_TO_MASS,0.15,0.01|MOD_DMG_TO_HUMANOID,0.15,0.01",,,,"res://src/towers/tower_behaviors/small_cactus.gd","res://resources/icons/tower_icons/small_cactus.tres","res://src/towers/tower_sprites/small_cactus_1.tscn","0RH3","0UEM"
"Budding Cactus",2,52,41,"Lapsus","common","nature","TRUE","essence",820,2.5,287,287,0,0,150,1400,0.2,"FALSE","CREEPS",,"320,0.5",,"MOD_DMG_TO_MASS,0.17,0.011|MOD_DMG_TO_HUMANOID,0.17,0.011",,,,"res://src/towers/tower_behaviors/small_cactus.gd","res://resources/icons/tower_icons/small_cactus.tres","res://src/towers/tower_sprites/small_cactus_2.tscn","NKVP","PRYW"
"Average Cactus",3,42,41,"Lapsus","common","nature","TRUE","essence",820,2.5,719,719,0,0,380,1400,0.2,"FALSE","CREEPS",,"320,0.5",,"MOD_DMG_TO_MASS,0.19,0.012|MOD_DMG_TO_HUMANOID,0.19,0.012",,,,"res://src/towers/tower_behaviors/small_cactus.gd","res://resources/icons/tower_icons/small_cactus.tres","res://src/towers/tower_sprites/small_cactus_3.tscn","W43C","1CQH"
"Grown Cactus",4,43,41,"Lapsus","common","nature","TRUE","essence",820,2.5,1422,1422,0,0,760,1400,0.2,"FALSE","CREEPS",,"320,0.5",,"MOD_DMG_TO_MASS,0.21,0.013|MOD_DMG_TO_HUMANOID,0.21,0.013",,,,"res://src/towers/tower_behaviors/small_cactus.gd","res://resources/icons/tower_icons/small_cactus.tres","res://src/towers/tower_sprites/small_cactus_4.tscn","VGBC","J6CW"
"Blooming Cactus",5,44,41,"Lapsus","common","nature","TRUE","essence",820,2.5,2496,2496,0,0,1350,1400,0.2,"FALSE","CREEPS",,"320,0.5",,"MOD_DMG_TO_MASS,0.23,0.014|MOD_DMG_TO_HUMANOID,0.23,0.014",,,,"res://src/towers/tower_behaviors/small_cactus.gd","res://resources/icons/tower_icons/small_cactus.tres","res://src/towers/tower_sprites/small_cactus_5.tscn","CAG7","48B8"
"Fully-Flowered Cactus",6,45,41,"Lapsus","common","nature","TRUE","essence",820,2.5,4063,4063,0,0,2250,1400,0.2,"FALSE","CREEPS",,"320,0.5",,"MOD_DMG_TO_MASS,0.25,0.016|MOD_DMG_TO_HUMANOID,0.25,0.016",,,,"res://src/towers/tower_behaviors/small_cactus.gd","res://resources/icons/tower_icons/small_cactus.tres","res://src/towers/tower_sprites/small_cactus_6.tscn","8SJ7","6E75"
"Astral Rift",1,46,46,"i_m0ck_death","unique","astral","TRUE","energy",750,1.5,2151,2151,180,2.5,3000,1500,0,"FALSE","CREEPS",,,,,"39","8",,"res://src/towers/tower_behaviors/astral_rift.gd","res://resources/icons/tower_icons/astral_rift.tres","res://src/towers/tower_sprites/astral_rift_1.tscn","F1TU","EVJV"
"Mud Golem",1,47,47,"SirCoqalot.","unique","nature","TRUE","decay",750,2.2,2327,2734,0,0,3000,1700,0,"FALSE","CREEPS,SIZE_MASS,SIZE_NORMAL,SIZE_CHAMPION,SIZE_BOSS",,,,,"40","9",,"res://src/towers/tower_behaviors/mud_golem.gd","res://resources/icons/tower_icons/mud_golem.tres","res://src/towers/tower_sprites/mud_golem_1.tscn","WQWP","UE94"
"Razorboar Thornweaver",1,48,48,"SirCoqalot.","rare","nature","TRUE","physical",800,0.9,379,398,100,1,800,1300,0,"FALSE","CREEPS",,,,,"41",,"13","res://src/towers/tower_behaviors/razorboar_thornweaver.gd","res://resources/icons/tower_icons/razorboar_thornweaver.tres","res://src/towers/tower_sprites/razorboar_thornweaver_1.tscn","JPDB","WE3V"
"Razorboar Painbringer ",2,64,48,"SirCoqalot.","rare","nature","TRUE","physical",800,0.9,815,834,100,1,1700,1300,0,"FALSE","CREEPS",,,,,"42",,"14","res://src/towers/tower_behaviors/razorboar_thornweaver.gd","res://resources/icons/tower_icons/razorboar_thornweaver.tres","res://src/towers/tower_sprites/razorboar_thornweaver_2.tscn","YK86","U3V2"
"Razorboar Deathpig ",3,65,48,"SirCoqalot.","rare","nature","TRUE","physical",800,0.9,1590,1609,100,1,3300,1300,0,"FALSE","CREEPS",,,,,"43",,"15","res://src/towers/tower_behaviors/razorboar_thornweaver.gd","res://resources/icons/tower_icons/razorboar_thornweaver.tres","res://src/towers/tower_sprites/razorboar_thornweaver_3.tscn","31CV","PWQO"
"Star Gazer",1,53,53,"i_m0ck_death","uncommon","astral","TRUE","energy",875,1.55,127,127,0,0,160,1200,0.3,"FALSE","CREEPS",,,,,"44",,,"res://src/towers/tower_behaviors/star_gazer.gd","res://resources/icons/tower_icons/star_gazer.tres","res://src/towers/tower_sprites/star_gazer_1.tscn","OCXC","XH6E"
"Star Watcher",2,55,53,"i_m0ck_death","uncommon","astral","TRUE","energy",875,1.55,474,474,0,0,630,1200,0.3,"FALSE","CREEPS",,,,,"45",,,"res://src/towers/tower_behaviors/star_gazer.gd","res://resources/icons/tower_icons/star_gazer.tres","res://src/towers/tower_sprites/star_gazer_2.tscn","F25F","O8TG"
"Star Observer",3,56,53,"i_m0ck_death","uncommon","astral","TRUE","energy",875,1.55,990,990,0,0,1370,1200,0.3,"FALSE","CREEPS",,,,,"46",,,"res://src/towers/tower_behaviors/star_gazer.gd","res://resources/icons/tower_icons/star_gazer.tres","res://src/towers/tower_sprites/star_gazer_3.tscn","705R","B0RE"
"Star Keeper",4,57,53,"i_m0ck_death","uncommon","astral","TRUE","energy",875,1.55,1781,1781,0,0,2560,1200,0.3,"FALSE","CREEPS",,,,,"47",,,"res://src/towers/tower_behaviors/star_gazer.gd","res://resources/icons/tower_icons/star_gazer.tres","res://src/towers/tower_sprites/star_gazer_4.tscn","UIAY","E5NZ"
"Charged Obelisk",1,54,54,"Boekie","unique","storm","TRUE","energy",1200,1.5,748,748,30,1,1700,1500,0.15,"FALSE","CREEPS",,,,"MOD_MANA_REGEN,0,0.04","48",,"16","res://src/towers/tower_behaviors/charged_obelisk.gd","res://resources/icons/tower_icons/charged_obelisk.tres","res://src/towers/tower_sprites/charged_obelisk_1.tscn","TOGE","XS11"
"Initiate Elementalist",1,59,59,"Kel-Thuzad","uncommon","astral","TRUE","arcane",900,2,25,25,0,0,150,1500,0.15,"FALSE","CREEPS",,,,,"49",,,"res://src/towers/tower_behaviors/initiate_elementalist.gd","res://resources/icons/tower_icons/initiate_elementalist.tres","res://src/towers/tower_sprites/initiate_elementalist_1.tscn","BGLA","FLKG"
"Adept Elementalist",2,62,59,"Kel-Thuzad","uncommon","astral","TRUE","arcane",900,2,83,83,0,0,500,1500,0.15,"FALSE","CREEPS",,,,,"50",,,"res://src/towers/tower_behaviors/initiate_elementalist.gd","res://resources/icons/tower_icons/initiate_elementalist.tres","res://src/towers/tower_sprites/initiate_elementalist_2.tscn","W17Y","F4NA"
"Master Elementalist",3,61,59,"Kel-Thuzad","uncommon","astral","TRUE","arcane",900,2,209,209,0,0,1250,1500,0.15,"FALSE","CREEPS",,,,,"51",,,"res://src/towers/tower_behaviors/initiate_elementalist.gd","res://resources/icons/tower_icons/initiate_elementalist.tres","res://src/towers/tower_sprites/initiate_elementalist_3.tscn","AE8K","QS4R"
"Divine Elementalist",4,60,59,"Kel-Thuzad","uncommon","astral","TRUE","arcane",900,2,417,417,0,0,2500,1500,0.15,"FALSE","CREEPS",,,,,"52,53",,,"res://src/towers/tower_behaviors/initiate_elementalist.gd","res://resources/icons/tower_icons/initiate_elementalist.tres","res://src/towers/tower_sprites/initiate_elementalist_4.tscn","A84T","1LPT"
"Bronze Dragon Roost",1,63,63,"cedi","unique","iron","TRUE","essence",800,2,1186,1190,0,0,1600,1000,0.1,"FALSE","CREEPS",,,"6,0.1",,"54",,,"res://src/towers/tower_behaviors/bronze_dragon_roost.gd","res://resources/icons/tower_icons/bronze_dragon_roost.tres","res://src/towers/tower_sprites/bronze_dragon_roost_1.tscn","715A","VRUB"
"Black Rock Totem",1,66,66,"poussix","unique","fire","TRUE","elemental",1200,2,1036,1036,0,0,2500,1500,0,"FALSE","CREEPS",,,,,"55,56",,"17","res://src/towers/tower_behaviors/black_rock_totem.gd","res://resources/icons/tower_icons/black_rock_totem.tres","res://src/towers/tower_sprites/black_rock_totem_1.tscn","M5WU","4QEB"
"Area Roaster",1,67,67,"SirCoqalot.","uncommon","fire","TRUE","elemental",700,1.2,85,85,0,0,650,1500,0,"FALSE","CREEPS","4",,,,"57",,,"res://src/towers/tower_behaviors/area_roaster.gd","res://resources/icons/tower_icons/area_roaster.tres","res://src/towers/tower_sprites/area_roaster_1.tscn","3I9F","95W4"
"Area Igniter",2,68,67,"SirCoqalot.","uncommon","fire","TRUE","elemental",700,1.2,132,132,0,0,1300,1500,0,"FALSE","CREEPS","4",,,,"58",,,"res://src/towers/tower_behaviors/area_roaster.gd","res://resources/icons/tower_icons/area_roaster.tres","res://src/towers/tower_sprites/area_roaster_2.tscn","E3JO","90ZV"
